iso3c,date,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,demography_adjusted_ifr_percent,aged_65_older_pct,implied_infections_per_100_persons,implied_infections_per_100_persons_top_95,implied_infections_per_100_persons_bot_95,cumulative_estimated_daily_excess_deaths_per_100k_population_over_65,cumulative_estimated_daily_excess_deaths_per_100k_population_over_65_top_95,cumulative_estimated_daily_excess_deaths_per_100k_population_over_65_bot_95
MLT,2023-08-02,182.21891447909323,194.37717577562324,165.02312517962326,0.875635827530677,19.426,20.809897077071042,22.198403681559434,18.846091033642846,938.0156207098386,1000.6031904438549,849.4961658582481
MMR,2023-08-02,316.1077131010299,438.4302350130001,150.35329976600005,0.284267909623922,5.732,111.20063236094114,154.23135013481834,52.89140795558423,5514.78913295586,7648.817777616889,2623.0512869155623
MNE,2023-08-02,605.0645024736082,625.903107407498,589.3916577824981,0.65067252896374,14.762,92.99063285140268,96.19325844358458,90.58191817643852,4098.797605159248,4239.96143752539,3992.627406736879
MNG,2023-08-02,38.04358558502738,58.17271963989739,22.326160547897395,0.233065692183697,4.031,16.323116984134373,24.95979528125787,9.57934234709261,943.7753804273724,1443.1337047853483,553.861586402813
MNP,2023-08-02,351.5692122117296,769.9780162599993,48.00185098000043,NA,NA,NA,NA,NA,NA,NA,NA
MOZ,2023-08-02,243.1718436285999,396.0282644839996,126.74678347499982,0.138930800566357,3.158,175.0309093716441,285.0543312710892,91.23015411867739,7700.185042070929,12540.47702609245,4013.5143595630093
MRT,2023-08-02,198.28433248900976,385.91091911400014,81.16022223399936,0.16225135589061,3.138,122.20812048109677,237.84757729493592,50.021290600935046,6318.812380146902,12297.989774187385,2586.367821351159
MSR,2023-08-02,141.82078697560996,362.09797790300024,0,NA,NA,NA,NA,NA,NA,NA,NA
MTQ,2023-08-02,479.7059127341901,816.5580372489983,67.39557358299992,0.996363855041708,NA,48.14565585722793,81.9537996202017,6.764152798394992,NA,NA,NA
MUS,2023-08-02,185.22540581922672,213.89660973320665,143.59856753420672,0.526737147380066,10.945,35.164674969388045,40.607846019044864,27.261902496995045,1692.3289704817425,1954.28606425954,1312.0015306917014
MWI,2023-08-02,159.32976322487983,335.8873381860003,0,0.133394382361022,2.979,119.44263349386456,251.80021245343463,-6.9738763127390815,5348.43112537361,11275.1708018127,0
MYS,2023-08-02,110.45379529233396,137.88539153780397,103.78710797180388,0.325701097993835,6.293,33.91262601590145,42.33494832750423,31.865753174024732,1755.1850515228662,2191.091554708469,1649.2469088162065
MYT,2023-08-02,171.18649399495007,935.5457950170016,0,0.212135188648114,NA,80.69688724717477,441.01395953165877,-2.9713458187531585,NA,NA,NA
NAM,2023-08-02,414.32657697561,665.0368929120002,269.4310787619994,0.182165219246218,3.552,227.44549079679052,365.0734732260408,147.90478658707684,11664.599577016046,18722.88549864865,7585.334424605839
NCL,2023-08-02,51.997035981120305,311.96190996300027,0,0.421402314475809,9.954,12.339048504230568,74.02947237037749,-23.891971929304567,522.3732768848735,3134.0356636829442,0
NER,2023-08-02,131.4633397312801,407.8192188109994,1.3178931399998317,0.12338573190553,2.553,106.54663039315977,330.52380734203956,1.068108216117625,5149.367008667454,15974.117462240478,51.621352918128935
NGA,2023-08-02,148.49613828730995,249.47653282599947,0,0.135766561785306,2.751,109.37607635828167,183.75403305897098,-9.907360277909449,5397.896702555796,9068.576256852035,0
NIC,2023-08-02,305.9863996664655,394.8087443100557,230.96563833905557,0.281026462194901,5.445,108.88170362200765,140.48810251763516,82.18643772374482,5619.584934186693,7250.849298623612,4241.7931742709925
NIU,2023-08-02,-21.28629760393989,306.75455139800056,0,NA,NA,NA,NA,NA,NA,NA,NA
NLD,2023-08-02,307.2398064974149,313.97865301317495,297.1335113621749,0.861676306011099,18.779,35.656058354406866,36.43812076795467,34.48319389651961,1636.081828092097,1671.9668406899991,1582.2648243366252
NOR,2023-08-02,164.3077214040798,172.68768876540975,154.2998553654098,0.767158068214494,16.821,21.417714055526314,22.510053132508677,20.11317637896083,976.8011497775387,1026.619634774447,917.3048889210497
NPL,2023-08-02,307.27250661806994,533.6761472970006,142.9568096679998,0.257310351869662,5.809,119.41707917515723,207.4056264814907,55.55812606420637,5289.593847789119,9187.057106162862,2460.953858977445
NRU,2023-08-02,25.91522095766001,357.14335766200014,0,NA,NA,NA,NA,NA,NA,NA,NA
NZL,2023-08-02,11.923928736018537,27.700810300438597,7.830295263438551,0.718819980646876,15.322,1.6588198793928945,3.8536505726385424,1.0893263228982535,77.82227343700912,180.79108667562068,51.10491622137157
OMN,2023-08-02,88.63254328154447,104.83992106905444,79.62989582905445,0.171605151583048,2.355,51.649115696069835,61.0936910121357,46.40297514059053,3763.5899482609116,4451.801319280443,3381.3119248006133
PAK,2023-08-02,288.7746578916397,565.2022561249998,150.58364352200013,0.211113768135275,4.495,136.78627426450092,267.7240149315303,71.32819657006497,6424.352789580416,12574.021270856503,3350.025439866521
PAN,2023-08-02,215.23199047620108,276.7414522456409,140.17102348864103,0.414071254653082,7.918,51.97945717254079,66.83425838808853,33.851908799146024,2718.2620671407058,3495.092854832545,1770.2831963708136
PCN,2023-08-02,-35.94660664667988,221.8789797799996,0,NA,NA,NA,NA,NA,NA,NA,NA
PER,2023-08-02,602.0278214534819,655.1897016594822,580.076214077482,0.398512732535488,7.151,151.06865409874217,164.4087247829997,145.5602711579173,8418.792077380533,9162.210902803556,8111.819522828722
PHL,2023-08-02,230.2164404474244,351.6171178261842,221.4993401661844,0.259778418136041,4.803,88.62031037807937,135.3527057209383,85.26471973903135,4793.180105088994,7320.781133170606,4611.687282244106
PLW,2023-08-02,-13.2462268503799,366.7068207949992,0,NA,NA,NA,NA,NA,NA,NA,NA
PNG,2023-08-02,106.84704102299996,301.3280210980001,0,0.176262933607602,3.808,60.617986343551806,170.9537081510393,-28.91633885855275,2805.857169721638,7913.025764128154,0
POL,2023-08-02,460.50219896354093,469.01867866371094,457.1034213107109,0.806796035417152,16.763,57.077895620228155,58.133488276402595,56.65662710828353,2747.134754897935,2797.939978904199,2726.8592812188203
PRI,2023-08-02,421.7706413987299,579.327672012998,138.01140687099974,0.926107625940234,15.168,45.54229223310042,62.55511301128026,14.902307572608873,2780.6608742004873,3819.407120338859,909.8853301094393
PRT,2023-08-02,367.9026843503092,375.1674377987094,356.2133403587092,1.03026455431435,21.502,35.709535265449524,36.41467002117593,34.57493891904029,1711.016111758484,1744.802519759601,1656.6521270519452
