location,official_covid_deaths_absolute,estimate_absolute,estimate_top_95_absolute,estimate_bot_95_absolute,difference_pct,vaccinated_per_100,official_covid_deaths_per_100k,estimate_per_100k,estimate_top_95_per_100k,estimate_bot_95_per_100k
The Gambia,341,3455.887,4540.109,-558.105,913.5,NA,13.712,138.962,182.558,-22.441
Timor-Leste,122,546.41,2539.934,-104.295,347.9,NA,9.078,40.659,189.001,-7.761
Togo,243,8875.03,15533.399,-1158.591,3552.3,NA,2.866,104.68,183.215,-13.665
Tokelau,NA,-0.754,1,-1.114,NA,NA,NA,-55.1,48.124,-81.426
Tonga,NA,-31.263,73.424,-70.652,NA,NA,NA,-29.284,68.775,-66.179
Trinidad and Tobago,1908,2667.612,4049.383,1732.177,39.8,45.27317735685569,135.958,190.086,288.546,123.429
Tunisia,25330,28573.854,40898.047,19084.917,12.8,NA,212.219,239.397,342.651,159.897
Turkey,74428,314138.137,437763.792,130884.512,322.1,65.81745676667788,87.518,369.389,514.757,153.904
Turkmenistan,NA,3268.064,12928.19,-258.032,NA,NA,NA,54.999,217.573,-4.343
Turks and Caicos Islands,NA,2.852,69.114,-20.193,NA,NA,NA,7.271,176.195,-51.48
Tuvalu,NA,-3.575,10.32,-8.139,NA,NA,NA,-29.982,86.545,-68.253
Uganda,3247,48671.6,72333.698,-2111.132,1399,NA,6.89,103.285,153.498,-4.48
Ukraine,84393,160396.3,171778.494,141014.402,90.1,29.119198086301317,194.155,369.009,395.195,324.418
United Arab Emirates,2144,19660.393,66147.781,5197.53,817,NA,21.459,196.779,662.068,52.022
United States,768695,945209.794,1038280.415,885550.489,23,68.65730898084837,230.898,283.919,311.875,265.999
Uruguay,6110,3214.161,3720.957,2834.963,-47.4,79.59185137405771,175.315,92.224,106.766,81.344
Uzbekistan,1367,37623.482,48567.597,33546.753,2652.3,47.153930374046375,4.028,110.867,143.116,98.854
Vanuatu,1,-45.479,244.28,-247.234,-4647.9,NA,0.318,-14.462,77.681,-78.621
Vatican,NA,0.014,1.768,-1,NA,NA,NA,1.696,217.779,-37.482
Venezuela,5049,55636.929,94355.801,16468.448,1001.9,NA,17.589,193.823,328.709,57.371
Vietnam,23476,103478.987,180925.178,47234.872,340.8,NA,23.914,105.409,184.3,48.116
Virgin Islands (British),NA,1.652,56.017,-15.331,NA,NA,NA,5.432,184.128,-50.391
Wallis and Futuna,NA,-5.2,7.411,-8.859,NA,NA,NA,-46.87,66.806,-79.855
World,5132202,17269982.931,20025560.437,10766157.233,236.5,52.558091741689395,65.171,219.474,254.493,136.821
Yemen,1934,57219.461,80028.596,7961.772,2858.6,NA,6.343,187.662,262.469,26.112
Zambia,3666,19442.644,47023.108,11103.906,430.4,NA,19.376,102.759,248.528,58.687
Zimbabwe,4699,37632.909,43734.142,17971.795,700.9,23.742482112083145,31.135,249.354,289.78,119.08
