location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
North America,2020-06-22,828.721,828.721,828.721,828.721,828.721,673.875,FALSE
Oceania,2020-06-22,-67.139,-36.761,-57.055,-69.734,-80.304,0,FALSE
Asia,2020-06-22,7380.278,13101.483,9676.393,5833.339,3095.625,1095.25,FALSE
Europe,2020-06-22,1552.315,1552.865,1552.484,1552.154,1551.777,454.75,FALSE
Latin America and Caribbean,2020-06-22,3680.727,3808.719,3692.906,3615.504,3556.444,2774.125,FALSE
Africa,2020-06-29,2971.708,5186.039,3524.334,2404.532,1392.602,311.125,FALSE
North America,2020-06-29,966.35,966.35,966.35,966.35,966.35,854.75,FALSE
Oceania,2020-06-29,-56.219,-26.995,-46.93,-59.141,-69.948,0.125,FALSE
Asia,2020-06-29,7425.94,14032.041,10069.21,6470.317,4194.487,942.5,FALSE
Europe,2020-06-29,1317.799,1318.316,1317.974,1317.658,1317.319,363,FALSE
Latin America and Caribbean,2020-06-29,3792.015,3892.865,3812.551,3752.193,3693.069,2741.25,FALSE
Africa,2020-07-06,2994.848,5322.969,3700.058,2466.049,1203.606,263,FALSE
North America,2020-07-06,1355.95,1355.95,1355.95,1355.95,1355.95,644.125,FALSE
Oceania,2020-07-06,-60.643,-31.609,-51.483,-63.695,-77.58,0.25,FALSE
Asia,2020-07-06,8226.919,14929.122,11178.837,7344.687,4398.65,1043.125,FALSE
Europe,2020-07-06,1298.412,1298.901,1298.586,1298.289,1297.93,365.125,FALSE
Latin America and Caribbean,2020-07-06,4602.397,4718.189,4622.867,4542.603,4484.168,2882.625,FALSE
Africa,2020-07-13,3701.933,6064.354,4539.699,3125.415,1976.696,284.5,FALSE
North America,2020-07-13,1574.207,1574.207,1574.207,1574.207,1574.207,816,FALSE
Oceania,2020-07-13,-63.946,-35.34,-54.667,-67.017,-80.785,0.5,FALSE
Asia,2020-07-13,8111.241,15708.767,11482.32,7574.314,5100.249,1130.5,FALSE
Europe,2020-07-13,1272.775,1273.275,1272.94,1272.664,1272.363,344.125,FALSE
Latin America and Caribbean,2020-07-13,4682.561,4789.979,4698.749,4618.347,4563.077,3000.75,FALSE
Africa,2020-07-20,4334.276,6235.292,4718.783,3292.548,2141.913,270.75,FALSE
North America,2020-07-20,1738.236,1738.236,1738.236,1738.236,1738.236,969.875,FALSE
Oceania,2020-07-20,-53.903,-24.108,-42.332,-55.766,-70.053,2.375,FALSE
Asia,2020-07-20,8815.868,16786.451,12325.712,7993.162,5394.768,1291.875,FALSE
Europe,2020-07-20,1284.065,1284.536,1284.239,1283.937,1283.607,300.25,FALSE
Latin America and Caribbean,2020-07-20,4639.086,4752.812,4657.124,4572.744,4517.258,3232.25,FALSE
Africa,2020-07-27,3409.395,5569.407,3957.734,2813.838,1667.047,346.875,FALSE
North America,2020-07-27,1720.693,1720.693,1720.693,1720.693,1720.693,1115,FALSE
Oceania,2020-07-27,-43.674,-16.919,-35.494,-48.401,-63.581,6.375,FALSE
Asia,2020-07-27,9146.422,17059.152,12768.696,9030.01,6178.064,1382,FALSE
Europe,2020-07-27,2178.233,2178.796,2178.399,2178.114,2177.862,291.375,FALSE
Latin America and Caribbean,2020-07-27,4568.118,4654.918,4568.118,4486.345,4428.857,3239.625,FALSE
Africa,2020-08-03,2359.759,4411.397,3002.649,1803.781,785.634,346.625,FALSE
North America,2020-08-03,1623.064,1623.064,1623.064,1623.064,1623.064,1171.125,FALSE
Oceania,2020-08-03,-47.805,-22.615,-38.076,-51.533,-65.049,14.25,FALSE
Asia,2020-08-03,9615.769,16018.618,12367.048,8964.257,6215.917,1353.875,FALSE
Europe,2020-08-03,1458.826,1459.386,1458.961,1458.654,1458.366,294.125,FALSE
Latin America and Caribbean,2020-08-03,4267.873,4339.83,4267.873,4187.508,4135.885,3245.125,FALSE
Africa,2020-08-10,2036.177,4035.029,2471.424,1546.284,555.861,409.625,FALSE
North America,2020-08-10,1672.321,1672.321,1672.321,1672.321,1672.321,1110.375,FALSE
Oceania,2020-08-10,-43.687,-16.562,-33.324,-46.657,-61.097,16,FALSE
Asia,2020-08-10,9331.315,15894.262,12378.201,8878.251,6056.401,1467.375,FALSE
Europe,2020-08-10,2458.606,2459.263,2458.817,2458.461,2458.175,308.875,FALSE
Latin America and Caribbean,2020-08-10,3953.557,4025.473,3956.801,3889.951,3844.234,3207,FALSE
Africa,2020-08-17,1985.989,3878.191,2567.032,1517.955,711.75,329.25,FALSE
North America,2020-08-17,1537.436,1537.436,1537.436,1537.436,1537.436,1051.25,FALSE
Oceania,2020-08-17,-62.122,-38.292,-52.723,-65.006,-78.852,20.625,FALSE
Asia,2020-08-17,9289.828,16752.547,12702.535,9256.551,6508.519,1538.75,FALSE
Europe,2020-08-17,1822.332,1822.938,1822.546,1822.196,1821.895,331.75,FALSE
Latin America and Caribbean,2020-08-17,3675.85,3740.812,3675.85,3604.827,3558.596,3043.375,FALSE
Africa,2020-08-24,1757.978,3767.58,2448.068,1378.498,587.805,295.25,FALSE
North America,2020-08-24,1244.407,1244.407,1244.407,1244.407,1244.407,966.75,FALSE
Oceania,2020-08-24,-77.416,-48.863,-62.462,-77.416,-91.181,16.875,FALSE
Asia,2020-08-24,10442.637,17070.051,13230.345,9894.877,7221.581,1511.375,FALSE
Europe,2020-08-24,1506.103,1506.692,1506.298,1505.949,1505.712,307.5,FALSE
Latin America and Caribbean,2020-08-24,3384.76,3440.031,3384.76,3308.595,3263.992,2976.125,FALSE
Africa,2020-08-31,1680.227,3553.748,2203.757,1123.805,289.911,245.125,FALSE
North America,2020-08-31,1112.721,1112.721,1112.721,1112.721,1112.721,903.875,FALSE
Oceania,2020-08-31,-59.15,-30.241,-43.897,-59.15,-71.066,13.875,FALSE
Asia,2020-08-31,10189.261,16949.23,13128.197,9510.611,6896.282,1544.125,FALSE
Europe,2020-08-31,1304.792,1305.428,1305.048,1304.661,1304.394,333.375,FALSE
Latin America and Caribbean,2020-08-31,3040.277,3122.942,3051.897,2994.143,2939.823,2860.125,FALSE
Africa,2020-09-07,1489.43,3552.489,2020.488,951.031,-17.246,231.75,FALSE
North America,2020-09-07,979.436,979.436,979.436,979.436,979.436,817.125,FALSE
Oceania,2020-09-07,-54.499,-25.892,-40.469,-54.499,-66.237,9.25,FALSE
Asia,2020-09-07,11491.033,20240.989,14273.06,10967.27,8001.749,1586.875,FALSE
Europe,2020-09-07,2289.842,2290.554,2290.097,2289.741,2289.392,354.75,FALSE
Latin America and Caribbean,2020-09-07,2600.576,2670.53,2605.995,2540.796,2486.155,3138.75,FALSE
Africa,2020-09-14,946.613,3502.247,1617.003,355.428,-881.376,197,FALSE
North America,2020-09-14,990.007,990.007,990.007,990.007,990.007,708.375,FALSE
Oceania,2020-09-14,-67.415,-40.906,-53.993,-67.415,-78.254,8.125,FALSE
Asia,2020-09-14,11454.568,20945.176,14977.66,11140.908,7974.445,1733.25,FALSE
Latin America and Caribbean,2020-09-14,2351.985,2402.684,2360.077,2299.483,2246.958,3021.5,FALSE
Europe,2020-09-14,2373.191,2373.908,2373.481,2373.098,2372.787,389.375,FALSE
Africa,2020-09-21,1551.149,3371.079,2011.261,741.41,-429.601,178.625,FALSE
North America,2020-09-21,1124.55,1124.55,1124.55,1124.55,1124.55,737.125,FALSE
Oceania,2020-09-21,-37.537,-12.984,-24.056,-37.537,-48.295,6.5,FALSE
Asia,2020-09-21,11206.363,19724.196,13858.031,10613.91,7616.786,1842.625,FALSE
Latin America and Caribbean,2020-09-21,2349.879,2397.692,2349.879,2294.108,2245.721,2231.25,FALSE
Europe,2020-09-21,1941.671,1942.362,1941.965,1941.578,1941.248,508.25,FALSE
Africa,2020-09-28,796.031,2784.54,1244.495,112.724,-1776.907,202.125,FALSE
North America,2020-09-28,837.293,837.293,837.293,837.293,837.293,687.125,FALSE
Oceania,2020-09-28,-18.376,4.34,-8.838,-18.981,-27.615,5,FALSE
Asia,2020-09-28,10248.88,18658.484,13035.593,9695.363,7008.967,1768,FALSE
Latin America and Caribbean,2020-09-28,2152.911,2199.014,2152.911,2095.453,2044.527,2115.375,FALSE
Europe,2020-09-28,2244.853,2245.56,2245.082,2244.721,2244.413,571.125,FALSE
Africa,2020-10-05,802.736,2647.693,1224.67,96.248,-1627.007,199.125,FALSE
North America,2020-10-05,1149.321,1149.321,1149.321,1149.321,1149.321,682.25,FALSE
Oceania,2020-10-05,-49.408,-20.226,-36.05,-49.408,-61.457,3.875,FALSE
Asia,2020-10-05,9710.736,17009.607,12394.603,9015.133,6339.798,1721.5,FALSE
Latin America and Caribbean,2020-10-05,2284.892,2324.154,2284.892,2220.213,2171.879,2031,FALSE
Europe,2020-10-05,3677.13,3677.898,3677.364,3676.969,3676.715,663.375,FALSE
Africa,2020-10-12,972.422,3084.504,1663.718,387.212,-1127.072,195.625,FALSE
North America,2020-10-12,874.721,874.721,874.721,874.721,874.721,686.75,FALSE
Oceania,2020-10-12,-34.421,-13.339,-23.81,-36.493,-49.266,2,FALSE
Asia,2020-10-12,10413.343,17444.35,12517.464,9571.673,6701.151,1680.125,FALSE
Latin America and Caribbean,2020-10-12,2221.616,2251.331,2221.616,2155.967,2105.137,1908.5,FALSE
Europe,2020-10-12,4325.909,4326.747,4326.166,4325.751,4325.497,871.5,FALSE
Africa,2020-10-19,986.731,3051.706,1438.946,255.82,-1549.873,141.25,FALSE
North America,2020-10-19,1079.578,1079.578,1079.578,1079.578,1079.578,706.625,FALSE
Oceania,2020-10-19,-13.93,5.03,-7.701,-18.338,-28.673,1.625,FALSE
Asia,2020-10-19,9139.46,15199.128,11025.689,8675.905,6229.756,1566.125,FALSE
Latin America and Caribbean,2020-10-19,2363.37,2386.655,2363.37,2291.114,2242.601,1759.25,FALSE
Europe,2020-10-19,5789.495,5790.342,5789.763,5789.372,5789.108,1189.625,FALSE
Africa,2020-10-26,1017.157,2847.285,1267.894,252.224,-1423.298,190.875,FALSE
North America,2020-10-26,1216.607,1216.607,1216.607,1216.607,1216.607,844.25,FALSE
Oceania,2020-10-26,-3.7,10.547,-3.7,-24.464,-37.657,1.625,FALSE
Asia,2020-10-26,8794.52,15090.762,10958.864,8323.838,6222.667,1487.875,FALSE
Latin America and Caribbean,2020-10-26,2331.644,2372.591,2331.644,2265.191,2219.115,1736.375,FALSE
Europe,2020-10-26,6956.546,6957.448,6956.893,6956.435,6956.137,1794.375,FALSE
Africa,2020-11-02,2328.026,4020.54,2703.468,1851.51,937.16,200.875,FALSE
North America,2020-11-02,1830.607,1830.607,1830.607,1830.607,1830.607,909.875,FALSE
Oceania,2020-11-02,-1.083,17.886,6.481,-4.816,-14.214,2.125,FALSE
Asia,2020-11-02,9868.08,15820.051,12485.825,9206.725,6896.965,1425.625,FALSE
Latin America and Caribbean,2020-11-02,2460.831,2500.09,2460.831,2394.528,2348.888,1639.5,FALSE
Europe,2020-11-02,9390.762,9391.662,9391.152,9390.724,9390.321,2752.75,FALSE
Africa,2020-11-09,2467.404,4501.868,2936.624,1991.291,1144.021,258.5,FALSE
North America,2020-11-09,1876.436,1876.436,1876.436,1876.436,1876.436,1084.125,FALSE
Oceania,2020-11-09,17.598,38.579,25.079,13.885,5.501,3,FALSE
Asia,2020-11-09,10338.979,16246.337,12689.379,9322.923,6941.521,1561.125,FALSE
Latin America and Caribbean,2020-11-09,2463.941,2510.532,2463.941,2399.67,2363.67,1530.875,FALSE
Europe,2020-11-09,9767.33,9768.269,9767.791,9767.322,9766.791,3743.625,FALSE
Africa,2020-11-16,2478.168,4475.42,3079.857,2087.773,1131.737,248.875,FALSE
North America,2020-11-16,2276.35,2276.35,2276.35,2276.35,2276.35,1330.25,FALSE
Oceania,2020-11-16,0.474,20.446,8.565,-3.789,-11.528,2.75,FALSE
