location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Latin America and Caribbean,2020-07-06,41.646,42.814,41.752,40.735,40.17,24.328,FALSE
Europe,2020-07-06,35.359,35.369,35.359,35.354,35.35,27.682,FALSE
Oceania,2020-07-06,-6.542,1.846,-1.806,-6.542,-9.646,0.286,FALSE
Asia,2020-07-06,3.214,11.98,6.681,1.125,-4.23,1.343,FALSE
North America,2020-07-06,47.937,47.937,47.937,47.937,47.937,36.985,FALSE
Africa,2020-07-13,4.849,25.87,12.963,1.82,-12.181,0.944,FALSE
Latin America and Caribbean,2020-07-13,46.58,47.746,46.656,45.644,45.053,27.253,FALSE
Europe,2020-07-13,36.549,36.56,36.55,36.544,36.54,28.028,FALSE
Oceania,2020-07-13,-7.606,1.045,-2.636,-7.606,-10.733,0.291,FALSE
Asia,2020-07-13,4.7,14.199,8.348,2.47,-3.272,1.516,FALSE
North America,2020-07-13,50.862,50.862,50.862,50.862,50.862,38.463,FALSE
Africa,2020-07-20,6.695,29.602,15.17,3.656,-11.226,1.081,FALSE
Latin America and Caribbean,2020-07-20,51.465,52.638,51.503,50.515,49.842,30.385,FALSE
Europe,2020-07-20,37.753,37.764,37.754,37.748,37.744,28.335,FALSE
Oceania,2020-07-20,-8.477,0.432,-3.272,-8.477,-11.678,0.331,FALSE
Asia,2020-07-20,6.403,16.067,10.259,3.819,-1.844,1.725,FALSE
North America,2020-07-20,54.091,54.091,54.091,54.091,54.091,39.978,FALSE
Africa,2020-07-27,7.903,32.473,17.057,5.016,-9.684,1.274,FALSE
Latin America and Caribbean,2020-07-27,56.267,57.36,56.336,55.275,54.508,33.535,FALSE
Europe,2020-07-27,39.802,39.813,39.803,39.796,39.792,28.622,FALSE
Oceania,2020-07-27,-9.218,0.016,-3.782,-9.218,-12.493,0.422,FALSE
Asia,2020-07-27,7.952,18.029,12.626,5.202,-0.356,1.932,FALSE
North America,2020-07-27,57.288,57.288,57.288,57.288,57.288,41.875,FALSE
Africa,2020-08-03,8.828,34.88,18.519,5.927,-9.062,1.446,FALSE
Latin America and Caribbean,2020-08-03,60.769,61.832,60.92,59.697,58.891,36.657,FALSE
Europe,2020-08-03,41.172,41.184,41.173,41.167,41.162,28.918,FALSE
Oceania,2020-08-03,-10.01,-0.412,-4.465,-10.01,-13.352,0.573,FALSE
Asia,2020-08-03,9.456,20.42,14.706,6.624,0.624,2.141,FALSE
North America,2020-08-03,60.304,60.304,60.304,60.304,60.304,43.812,FALSE
Africa,2020-08-10,9.64,37.007,19.846,6.778,-8.775,1.654,FALSE
