location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Africa,2020-12-28,0.368,0.419,0.368,0.271,0.192,0.039,FALSE
North America,2020-12-28,1.092,1.092,1.092,1.092,1.092,0.645,FALSE
Oceania,2020-12-28,-0.015,0.029,0.012,-0.015,-0.023,0.003,FALSE
Latin America and Caribbean,2020-12-28,0.686,0.695,0.688,0.676,0.668,0.283,FALSE
Europe,2020-12-28,1.078,1.078,1.078,1.078,1.078,0.553,FALSE
Asia,2020-12-28,0.178,0.257,0.19,0.131,0.048,0.029,FALSE
Africa,2021-01-04,0.382,0.446,0.382,0.284,0.163,0.047,FALSE
North America,2021-01-04,0.942,0.942,0.942,0.942,0.942,0.741,FALSE
Oceania,2021-01-04,-0.015,0.036,0.008,-0.015,-0.026,0.004,FALSE
Asia,2021-01-04,0.146,0.233,0.164,0.107,0.016,0.026,FALSE
Latin America and Caribbean,2021-01-04,0.829,0.86,0.839,0.817,0.804,0.315,FALSE
Europe,2021-01-04,0.791,0.791,0.791,0.79,0.79,0.587,FALSE
Africa,2021-01-11,0.423,0.472,0.423,0.307,0.194,0.056,FALSE
North America,2021-01-11,0.939,0.939,0.939,0.939,0.939,0.882,FALSE
Oceania,2021-01-11,-0.054,-0.009,-0.031,-0.054,-0.062,0.003,FALSE
