location,iso3c,official_covid_deaths_per_100k,cumulative_estimated_daily_excess_deaths_per_100k,estimate_top_95_per_100k,estimate_bot_95_per_100k,cumulative_estimated_daily_excess_deaths_per_100k_population_over_65,cumulative_estimated_daily_excess_deaths_per_100k_demography_adjusted,implied_infections_per_100_persons,implied_infections_per_100_persons_top_95,implied_infections_per_100_persons_bot_95
Equatorial Guinea,GNQ,NA,102.21272893959993,413.152,9.732,3591.452176373856,341.2872653063641,79.40245150005985,320.9512758780424,7.560397363268527
Greece,GRC,NA,386.2553116954637,394.529,377.83,1893.7797200209047,155.30239566396165,36.131998445594725,36.905948143441904,35.3438935813799
Grenada,GRD,NA,178.44406549500002,361.408,80.072,2443.1005681133624,169.9062313563646,39.52966508352199,80.06058833485613,17.737875877316966
Greenland,GRL,NA,-259.04380959037667,-214.655,-292.991,NA,-130.5726511669142,0,0,0
Guatemala,GTM,NA,316.21815446613766,348.858,261.816,6736.645813083461,552.1653783789947,128.46446127251016,141.72456457386195,106.36352493367384
French Guiana,GUF,NA,438.6514428179002,687.819,72.596,NA,728.7304726767635,169.54334924096975,265.84907620433773,28.05898454160959
Guam,GUM,NA,473.5726003033004,951.317,162.876,4958.356196244376,441.0663477744401,102.61663076127512,206.137131419648,35.2929733927585
Guyana,GUY,NA,447.70603817920033,715.994,293.259,8439.322114593786,581.804043002618,135.36006761220537,216.47453711835823,88.66444112534424
Hong Kong,HKG,NA,235.1655734793032,247.575,214.284,1442.4680947022216,118.29502038038044,27.522019053421143,28.97433201202554,25.07816505530517
Honduras,HND,NA,280.5102065569005,436.624,140.234,6029.88406184223,477.88027590902004,111.18160355804406,173.05825536901187,55.58245594709357
Croatia,HRV,NA,657.2760273735221,666.139,650.535,3332.3667986895257,307.6896183771203,71.58576508364563,72.55106902161417,70.85162792972713
Haiti,HTI,NA,178.67100221289994,438.995,17.104,3722.312546102082,316.1878155521808,73.56291969099658,180.74425160277144,7.042001560205002
Hungary,HUN,NA,488.5342312527531,501.457,484.488,2629.78000351377,256.3969883653946,59.65223875309075,61.23012834980715,59.15820327722284
Indonesia,IDN,58.772,307.5851718131999,593.849,157.667,5782.763147456287,444.92654612780933,103.5147281815198,199.85403828004848,53.06119806159817
India,IND,37.542,575.1753057155013,672.896,131.851,9603.862175914195,832.5575270527937,193.69931252335684,226.60823391276008,44.40290798277341
Ireland,IRL,NA,191.09896121813964,197.065,185.065,1372.048831261772,131.437194810365,30.57962176486553,31.534235557882425,29.61414740706881
Iran,IRN,165.313,326.31727600535413,377.989,302.583,5998.4793383337155,451.40327738468903,105.02157707915352,121.6516118942818,97.3828461825604
Iraq,IRQ,NA,308.7387858331005,559.694,162.955,9690.482920059652,782.2325724286037,181.99092145519631,329.9204580202238,96.05648944437216
Iceland,ISL,NA,98.00119000020707,105.856,87.363,679.1018640441208,60.69719031379625,14.121551549117347,15.253375781388854,12.588680525688618
Israel,ISR,NA,155.12307160310922,165.818,147.466,1322.109192901297,121.52469573551367,28.27342166001035,30.222653057320727,26.877855513960085
Italy,ITA,324.318,482.1850371695341,490.628,476.749,2094.544273357083,188.99463472396033,43.970692267025385,44.74065101797535,43.47501454400724
Jamaica,JAM,NA,303.1518814501968,337.076,230.276,3130.4407419475097,304.4914457520081,70.84169176896646,78.76917838902763,53.81167881998958
Jordan,JOR,NA,132.98374942111724,170.816,114.478,3490.387123913838,278.0976166612106,64.70101513867486,83.10762800887937,55.697238508515376
Japan,JPN,60.261,184.21997949562933,197.287,167.243,681.0602221732017,61.01475977057094,14.195435915610826,15.20231755805968,12.887221352790732
Kazakhstan,KAZ,NA,403.8646435125458,424.54,397.389,5776.922378952164,475.5133473601366,110.63092397397546,116.29447539716185,108.857158293749
Kenya,KEN,10.53,276.2095517676003,437.714,55.599,10283.30423557708,869.5898388263224,202.31509353380017,320.61217142735836,40.72447369184092
Kyrgyzstan,KGZ,NA,181.6812324868542,197.382,174.49,4047.2540095088934,322.4095232391474,75.01043588360473,81.49273573697113,72.0414083281618
Cambodia,KHM,NA,328.4434113867005,405.977,64.863,7444.3202943495135,625.762026588578,145.58714613091718,179.9549376251095,28.751510365366855
Kiribati,KIR,NA,-53.75139515460007,304.346,-53.751,-1380.0101451758685,-111.18141860394717,0,146.46163914204877,0
South Korea,KOR,69.349,150.62723421852672,168.323,137.577,1082.558820026784,91.2726666853682,21.23511254737384,23.729792702369583,19.395362188256296
Kuwait,KWT,NA,173.67480922094887,203.371,156.61,7406.175233302723,339.8006630761509,79.05658491351018,92.57438367474148,71.28872657262123
Laos,LAO,NA,311.28502216900006,610.956,174.249,7726.111247679327,645.3332744051701,150.1405098614906,294.67918853689804,84.04452347847827
Lebanon,LBN,NA,343.61517666231316,381.033,276.402,4035.884151542321,416.55711210658893,96.9144156649306,107.46775279754652,77.95751319432698
Liberia,LBR,NA,141.35469790069985,340.756,-30.127,4623.96787375531,373.0460980902453,86.79132719560317,209.2230801908909,0
Libya,LBY,NA,401.3136746524004,683.131,226.313,9071.285593408687,717.4470288375762,166.91819092634452,284.13452225946753,94.13023655250488
Saint Lucia,LCA,NA,315.84304764600023,548.85,113.161,3249.0798029626603,275.1695970666381,64.019794485333,111.24910690250596,22.937066860715056
Sri Lanka,LKA,NA,131.04501324030025,418.447,61.485,1301.4699894756209,121.37037924312739,28.23751903765097,90.16676424070636,13.248844954274864
Lesotho,LSO,NA,188.9090164951002,373.612,103.081,4192.388293277856,353.24156968891265,82.1836893909615,162.53754146673825,44.84495396631966
Lithuania,LTU,NA,975.2029080064716,982.329,962.079,5132.106662490641,427.69909450295506,99.5066621586514,100.23379925403964,98.16752256325783
Luxembourg,LUX,NA,7.699381521751252,22.23,4.169,53.796684752314505,4.781359775857389,1.1124109402853066,3.211814386649709,0.6023522347784922
Latvia,LVA,NA,587.9900115460836,603.643,581.285,2976.561767470302,265.2538471539549,61.71283805429889,63.35568587405418,61.00908305837363
Macau,MAC,NA,201.2793060783283,206.1,187.932,2054.289712985592,161.2831386077989,37.523452800347954,38.42209292034037,35.03518665024396
Morocco,MAR,NA,202.54493974020028,394.427,96.219,2992.2431635426246,258.7686744532376,60.204025206049295,117.2385452064004,28.59998805940844
Moldova,MDA,NA,579.2917932649714,637.228,571.232,5332.214591908793,474.0263990492723,110.28497686976542,121.3147900611318,108.75062808836692
Madagascar,MDG,NA,277.7452651332001,413.139,23.374,9482.596965967912,754.0472474818957,175.4334429771013,260.9526576463556,14.764039900003665
Maldives,MDV,NA,139.9948666427789,294.599,105.138,3397.9336563781285,278.633311348699,64.82564759867584,136.41633215199994,48.68506800374404
Mexico,MEX,262.412,514.8684469560884,542.386,503.977,7508.65461508077,605.2316141298941,140.8106272119838,148.33632835543472,137.83202878922145
North Macedonia,MKD,NA,830.1933969629997,849.425,823.439,6260.885346628957,613.8540393273045,142.8166841855298,146.12513926943095,141.65465905889116
Mali,MLI,NA,208.29978277760023,500.257,38.942,8269.1458030012,727.2360654359761,169.19566677367516,406.3434115581052,31.631332631091055
Malta,MLT,NA,198.15073738338225,205.483,188.248,1020.028505010719,97.26539217443332,22.629354710413587,23.466766508292892,21.498427857782826
Myanmar,MMR,35.981,436.4048114797005,524.961,154.768,7613.482405437901,659.8540194105567,153.51884497165057,184.671255179492,54.4443319000562
Montenegro,MNE,NA,597.1449203550981,629.927,587.118,4045.149169185057,394.46042936050605,91.77349492625883,96.81172728510904,90.2325626158741
Mongolia,MNG,NA,24.356354334397412,63.453,14.916,604.2261060381397,44.91796854664931,10.45042455892663,27.225365631628577,6.400061657783888
Mozambique,MOZ,NA,333.9303414040003,414.531,130.675,10574.108340848648,1033.1027449286503,240.3573146075023,298.37212823876933,94.0576713250756
Mauritania,MRT,NA,161.75791709989994,417.907,59.543,5154.80934034098,428.5123898774114,99.69588002023065,257.56780840941207,36.69815383185071
Martinique,MTQ,NA,701.4564033196002,813.388,85.805,NA,302.599977932925,70.40163086709293,81.63559039794251,8.611796348273584
Mauritius,MUS,NA,180.17293779080663,220.811,147.921,1646.1666312545146,147.0218166589104,34.20547396115262,41.920505567814274,28.082558542330123
Malawi,MWI,NA,235.02978208539992,329.213,2.285,7889.552940093989,757.3062301136664,176.19166409070306,246.79710132695692,1.713200848904432
Malaysia,MYS,NA,111.89315915630388,137.567,94.346,1778.0575108263763,147.66259125063394,34.35455386718464,42.23721335836818,28.967024012608555
Mayotte,MYT,NA,202.5140053362,961.89,4.634,NA,410.3255128021926,95.4645981304528,453.432606830527,2.1844904730477004
Namibia,NAM,NA,350.84565583939997,674.61,265.883,9877.411481965088,827.8217159227003,192.59749873832405,370.32884928828514,145.95723464457086
