location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
North America,2020-07-27,215830.611,215830.611,215830.611,215830.611,215830.611,161586,FALSE
Oceania,2020-08-03,-4402.213,-140.555,-2132.702,-4402.213,-5688.054,317,FALSE
Europe,2020-08-03,307889.756,307974.454,307913.826,307855.34,307800.333,200687,FALSE
Asia,2020-08-03,422311.094,1026724.786,638007.515,300009.165,10115.355,99338,FALSE
Africa,2020-08-03,135694.76,490319.271,264210.779,90161.274,-135160.892,23056,FALSE
Latin America and Caribbean,2020-08-03,401983.705,408963.313,401983.705,395205.477,389559.297,262956,FALSE
North America,2020-08-03,227192.06,227192.06,227192.06,227192.06,227192.06,169803,FALSE
Oceania,2020-08-10,-4731.248,-290.42,-2344.706,-4731.248,-6116.685,429,FALSE
Europe,2020-08-10,325126.923,325215.104,325151.975,325091.185,325037.829,202924,FALSE
Asia,2020-08-10,492281.354,1129868.381,733834.253,355449.966,60533.626,109634,FALSE
Africa,2020-08-10,146812.194,519379.824,280449.596,101613.812,-120178.501,25990,FALSE
Latin America and Caribbean,2020-08-10,429538.394,436660.18,429538.394,422281.57,416472.644,285324,FALSE
North America,2020-08-10,238898.309,238898.309,238898.309,238898.309,238898.309,177516,FALSE
Oceania,2020-08-17,-5184.418,-585.167,-2686.717,-5184.418,-6688.126,573,FALSE
Europe,2020-08-17,337914.366,338005.786,337941.565,337877.375,337824.208,205338,FALSE
Asia,2020-08-17,557865.949,1230539.356,830056.672,425766.303,121354.671,120158,FALSE
Africa,2020-08-17,157776.957,552382.413,297375.657,110674.081,-106269.759,28288,FALSE
Latin America and Caribbean,2020-08-17,455266.148,462335.658,455266.148,447681.019,441364.444,306646,FALSE
North America,2020-08-17,249660.358,249660.358,249660.358,249660.358,249660.358,184877,FALSE
Oceania,2020-08-24,-5726.243,-932.527,-3114.447,-5726.243,-7299.072,681,FALSE
Europe,2020-08-24,348481.031,348576.305,348511.815,348443.976,348389.108,207614,FALSE
Asia,2020-08-24,642664.861,1330990.087,933557.387,513575.469,193951.292,130634,FALSE
Africa,2020-08-24,166553.442,583071.245,309566.136,121222.774,-92913.817,30371,FALSE
Latin America and Caribbean,2020-08-24,478943.618,486178.348,478943.618,470991.029,464273.814,327731,FALSE
North America,2020-08-24,258371.208,258371.208,258371.208,258371.208,258371.208,191655,FALSE
Oceania,2020-08-31,-6135.418,-1169.257,-3439.355,-6135.418,-7819.482,774,FALSE
Europe,2020-08-31,357659.28,357760.222,357691.885,357622.098,357566.579,210107,FALSE
Africa,2020-08-31,175596.048,609730.069,323867.516,128818.968,-82860.644,32149,FALSE
Latin America and Caribbean,2020-08-31,500154.798,507762.509,500154.798,491927.092,484791.801,347571,FALSE
Asia,2020-08-31,716030.599,1433769.425,1013604.322,578031.678,252170.02,141561,FALSE
North America,2020-08-31,266160.257,266160.257,266160.257,266160.257,266160.257,197873,FALSE
Oceania,2020-09-07,-6528.785,-1402.75,-3735.859,-6528.785,-8245.409,839,FALSE
Europe,2020-09-07,373671.273,373777.747,373703.874,373633.425,373577.876,212808,FALSE
Africa,2020-09-07,183443.386,635815.384,338064.722,133298.433,-79931.832,33853,FALSE
Latin America and Caribbean,2020-09-07,518205.245,525823.211,518205.245,509693.178,502162.889,369736,FALSE
Asia,2020-09-07,805686.453,1548610.502,1122413.877,663887.905,326081.731,152676,FALSE
North America,2020-09-07,273016.306,273016.306,273016.306,273016.306,273016.306,203571,FALSE
Oceania,2020-09-14,-7014.671,-1696.361,-4122.934,-7014.671,-8787.296,896,FALSE
Europe,2020-09-14,390355.325,390468.111,390391.098,390315.131,390261.142,215828,FALSE
Africa,2020-09-14,187850.458,662584.94,352240.516,133804.108,-83227.615,35201,FALSE
Latin America and Caribbean,2020-09-14,534522.881,542197.943,534522.881,525846.057,518485.28,387709,FALSE
Asia,2020-09-14,894111.932,1668418.82,1223501.736,735099.887,390578.387,164878,FALSE
North America,2020-09-14,279946.355,279946.355,279946.355,279946.355,279946.355,208435,FALSE
Oceania,2020-09-21,-7278.029,-1783.92,-4320.543,-7278.029,-9121.684,940,FALSE
Europe,2020-09-21,403994.962,404112.396,404030.872,403953.261,403899.818,219646,FALSE
Africa,2020-09-21,196848.903,690388.511,368680.216,139027.822,-82171.12,36511,FALSE
Latin America and Caribbean,2020-09-21,550836.261,558582.026,550836.261,542149.105,534685.544,403135,FALSE
Asia,2020-09-21,979448.474,1788868.704,1326013.025,827198.589,432884.27,177856,FALSE
North America,2020-09-21,287818.205,287818.205,287818.205,287818.205,287818.205,213664,FALSE
North America,2020-09-28,293679.254,293679.254,293679.254,293679.254,293679.254,218481,FALSE
Oceania,2020-09-28,-7409.86,-1790.642,-4342.147,-7409.86,-9251.442,975,FALSE
Europe,2020-09-28,419687.268,419808.979,419726.396,419646.896,419591.392,223990,FALSE
Africa,2020-09-28,201084.077,707409.935,381977.656,139374.866,-100186.708,38000,FALSE
Latin America and Caribbean,2020-09-28,565787.495,573565.079,565787.495,556720.798,549399.22,417909,FALSE
Asia,2020-09-28,1057019.121,1892035.037,1426432.218,911229.129,476657.794,190189,FALSE
North America,2020-10-05,301724.503,301724.503,301724.503,301724.503,301724.503,223268,FALSE
Oceania,2020-10-05,-7771.202,-1994.204,-4549.582,-7771.202,-9633.73,1003,FALSE
Europe,2020-10-05,445452.641,445578.47,445495.162,445410.582,445357.412,229047,FALSE
Africa,2020-10-05,205025.669,733801.539,390514.789,134516.104,-118857.36,39474,FALSE
Latin America and Caribbean,2020-10-05,581682.221,589335.575,581682.221,571930.082,564938.883,431864,FALSE
Asia,2020-10-05,1128448.06,2008358.123,1539521.08,991490.581,533515.916,202238,FALSE
North America,2020-10-12,307847.552,307847.552,307847.552,307847.552,307847.552,228144,FALSE
Oceania,2020-10-12,-8043.096,-2115.188,-4730.69,-8043.096,-9879.006,1017,FALSE
Europe,2020-10-12,475783.295,475914.09,475827.354,475741.72,475689.04,235462,FALSE
Africa,2020-10-12,210584.813,751274.152,394111.162,135151.264,-126447.463,40873,FALSE
Latin America and Caribbean,2020-10-12,597132.013,604557.633,597132.013,587405.535,579920.35,445176,FALSE
Asia,2020-10-12,1201598.98,2110039.181,1648341.873,1072203.084,581836.296,214030,FALSE
North America,2020-10-19,315404.602,315404.602,315404.602,315404.602,315404.602,233093,FALSE
Oceania,2020-10-19,-8164.912,-2096.022,-4798.345,-8164.912,-10114.29,1029,FALSE
Europe,2020-10-19,516352.345,516487.811,516398.576,516310.188,516256.439,244347,FALSE
Africa,2020-10-19,216114.451,768747.887,399000.777,136881.971,-136572.36,41949,FALSE
Latin America and Caribbean,2020-10-19,613541.046,620741.256,613541.046,603623.53,595860.578,457559,FALSE
Asia,2020-10-19,1263621.793,2187471.902,1726107.956,1132974.637,633043.466,224946,FALSE
North America,2020-10-26,323920.851,323920.851,323920.851,323920.851,323920.851,239131,FALSE
Oceania,2020-10-26,-8110.832,-2157.287,-4893.073,-8110.832,-10304.161,1041,FALSE
Europe,2020-10-26,565038.82,565179.311,565087.552,564999.462,564940.959,257578,FALSE
Africa,2020-10-26,221206.437,782626.46,403469.31,139331.464,-148729.572,43282,FALSE
Latin America and Caribbean,2020-10-26,629809.421,636718.227,629809.421,619485.484,611679.252,469640,FALSE
Asia,2020-10-26,1327567.188,2266913.351,1784704.47,1201669.056,687970.63,235451,FALSE
North America,2020-11-02,336735.1,336735.1,336735.1,336735.1,336735.1,245542,FALSE
Oceania,2020-11-02,-8142.794,-2055.997,-4857.276,-8142.794,-10377.526,1058,FALSE
