custom_regions,date,population,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_90_top_per_100k,estimated_daily_excess_deaths_ci_50_top_per_100k,estimated_daily_excess_deaths_ci_50_bot_per_100k,estimated_daily_excess_deaths_ci_90_bot_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths_raw_estimate_per_100k,daily_excess_deaths_per_100k,daily_covid_deaths_per_100k
Oceania,2021-07-12,44446737,0.10926541662831996,0.144803681183475,0.12983782041664538,0.10926541662831996,0.06479256386279444,0.04623764323685999,0.04493744935089869,0.8597779307275425,0.03738164916206707,0.010927686322620263
European Union,2021-07-12,447593544,0.13741091307625225,0.13741091307625225,0.13741091307625225,0.13741091307625225,0.13741091307625225,0.13741091307625225,0.13741091307625225,3.7100946530588113,0.13741091307625225,0.03619377494863956
North America,2021-07-12,375152636,0.14759448967831315,0.14759448967831315,0.14759448967831315,0.14759448967831315,0.14759448967831315,0.14759448967831315,0.14759448967831315,0.2951889793566263,0.14759448967831315,0.07044759243008492
Latin America and Caribbean,2021-07-19,655119303,0.5389687058542622,0.5628042628708851,0.559350491750045,0.5434384615300397,0.5264735107815395,0.5140982029355974,0.5128320028444641,20.889841951222348,0.43520504065046556,0.4271197608109557
Asia,2021-07-19,4666863690,0.4861977969989194,0.6951163310473939,0.6496164046614559,0.5243715520610244,0.37167368369219084,0.3014072066960501,0.26615081497659115,2.107090441410612,0.04300184574307372,0.06446054995019578
Oceania,2021-07-19,44446737,0.10650874934505541,0.14064151292201693,0.13409206794820153,0.10650874934505541,0.05565191596680411,0.03766704340445094,0.03652303195852271,0.2521164182846163,0.01096158340367897,0.02121415572081253
European Union,2021-07-19,447593544,0.12620176378356085,0.12620176378356085,0.12620176378356085,0.12620176378356085,0.12620176378356085,0.12620176378356085,0.12620176378356085,3.407447622156143,0.12620176378356085,0.025310016535895343
North America,2021-07-19,375152636,0.21251282791514203,0.21251282791514203,0.21251282791514203,0.21251282791514203,0.21251282791514203,0.21251282791514203,0.21251282791514203,0.42502565583028407,0.21251282791514203,0.07296096941192756
Latin America and Caribbean,2021-07-26,655119303,0.5711784864944002,0.5967954604670727,0.5875754571277242,0.5778789605990796,0.5615132021274303,0.5496467558031545,0.5472208581191332,22.82683265534145,0.47555901365294684,0.3972450495783972
Asia,2021-07-26,4666863690,0.5161682533412748,0.744287185397194,0.6653833908081312,0.547636525169646,0.4075780688999284,0.3143235290139189,0.3065136311591057,2.4348236047505503,0.04969027764797041,0.08608419415823992
Oceania,2021-07-26,44446737,0.11135984007469661,0.13757091694886703,0.13245413578340978,0.11135984007469661,0.05928384581676826,0.039760460173776865,0.03753807815949504,0.4191863718273328,0.018225494427275342,0.03085490842668608
European Union,2021-07-26,447593544,0.12333245136495515,0.12333245136495515,0.12333245136495515,0.12333245136495515,0.12333245136495515,0.12333245136495515,0.12333245136495515,3.329976186853789,0.12333245136495515,0.0293002438837679
