continent_alt,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
Latin America and Caribbean,2021-04-12,658737988,5933.771664873374,6099.072873018631,6087.229885773314,6003.641007916165,5880.086003192262,5796.9009646078475,5782.582434261796,251040.63113781548,5230.013148704489,5550.431
Asia,2021-04-12,4653336159,23653.63097256984,31898.0092420735,29442.643418968873,24531.761204091265,16821.73751335519,12895.960384485285,12385.424646052978,59235.4570027469,1184.709140054938,2156.573
Africa,2021-04-12,1372305269,5059.0682833906985,5535.5675236396955,5443.236088846581,5059.0682833906985,2916.005061271728,2068.3620549884067,1784.334992664155,57392.54565757145,1024.8668867423473,269.859
"Europe, United States, Canada, and Oceania",2021-04-12,1164189376,4425.287233256725,4456.648499419524,4447.126440822402,4428.069903848731,4391.906762462941,4369.9581646304105,4369.597546220924,326042.0962755635,4347.227950340847,4682.142
Latin America and Caribbean,2021-04-19,658737988,5820.86430115513,6024.206658233171,6014.485683252698,5921.11873778803,5804.562338601705,5731.679943938138,5711.862145367993,246228.51685210114,5129.760767752107,5107.7699999999995
Asia,2021-04-19,4653336159,25915.73360674831,39838.07813854004,39371.30210039615,29581.681444191538,22859.775475643837,18060.920531203978,14806.492744981688,69479.88557417545,1389.597711483509,2859.148
Africa,2021-04-19,1372305269,4993.270806663237,5419.048577737565,5335.889695502214,4993.270806663237,2817.646799659998,2016.7056189727589,1730.9705753005255,56371.74565757152,1006.6383153137772,318.146
"Europe, United States, Canada, and Oceania",2021-04-19,1164189376,4896.892602800351,4911.270341891283,4909.245829591883,4896.892602800351,4848.6730430448,4823.866096320421,4814.420782410125,359532.8105612772,4793.770807483696,4264.147
Latin America and Caribbean,2021-04-26,658737988,5784.50585450099,6027.236392403571,5986.811918486968,5880.6436335814005,5748.689812818284,5675.559519234296,5662.774257927805,237180.05970924394,4941.251243942582,4913.857
Asia,2021-04-26,4653336159,40883.711649649355,65498.47701633805,58753.76622058616,43161.79783925758,28115.64322941609,22180.40375458794,19427.312585071195,70756.45700274687,1415.1291400549374,4166.144
Africa,2021-04-26,1372305269,4896.302429262296,5506.626120261509,5354.409478291625,4896.302429262296,2807.015249405354,2130.7084307046507,2019.0879899758809,56678.94565757152,1012.1240295994915,318.576
"Europe, United States, Canada, and Oceania",2021-04-26,1164189376,4554.528457028568,4570.478678594034,4570.013958278979,4555.21944690425,4527.272231978464,4510.044972925262,4505.802284067152,335965.66770413413,4479.542236055122,3992.571
