region,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
Europe & Central Asia,2020-08-03,923927595,36.64732049087083,36.89157210020105,36.82680835423443,36.651507779670794,36.42977382963062,36.25747505845894,36.14732988521929,2127.4465244817397,36.05841566918202,23.08410660686025
Middle East & North Africa,2020-08-03,493379661,36.56128166639649,41.734654282480626,41.235117804459534,37.58652473892035,34.1813185004515,31.77798070529653,31.07052055078619,587.9230191599197,27.996334245710468,6.989772527327591
East Asia & Pacific,2020-08-03,2362944397,-7.611596033623197,2.68371129394803,1.5279478927094126,-2.388750457386851,-7.611596033623197,-9.37209595446613,-10.051574422312697,-221.91061387981424,-5.412453997068639,0.5879560694546466
North America,2020-08-03,376814276,60.29712625743452,60.2983208874873,60.2981714531288,60.297629541109885,60.29712625743452,60.29691168994242,60.29684325597977,241.19105468372007,60.29776367093002,45.06517874073327
Other,2020-08-03,3675292,21.327612850397525,48.60505746298499,45.06879701850101,33.07376433297563,21.327612850397525,14.188939576430597,13.207799152256653,136.5019622245744,22.750327037429074,7.700531005427596
Latin America & Caribbean,2020-08-10,660258572,65.18658580801778,67.18159749379618,66.91494288745328,65.69098538382264,64.57307322847555,63.735754691278416,63.66525338261761,3127.2242748340336,63.8209035680415,43.21515207832849
South Asia,2020-08-10,1918999115,31.276142399579214,51.27404764954659,45.24225795637776,31.276142399579214,16.210107423758405,5.467095337946334,2.062262421569418,-0.07624549031668429,-0.009530686289585536,2.883745259048751
Sub-Saharan Africa,2020-08-10,1211214422,22.781502402417882,35.15821722258309,34.3692506783462,22.781502402417882,0.7405435456841915,-14.12706075281071,-18.997919044346325,73.45829894474996,1.530381228015624,1.5620026195493897
Europe & Central Asia,2020-08-10,923927595,39.158678687424946,39.39414563671865,39.33348296911108,39.158678687424946,38.922768870685296,38.73790117324193,38.64293003036585,2272.456041913597,38.51620410023045,23.37568703097346
Middle East & North Africa,2020-08-10,493379661,38.80534674443584,44.35236208128562,43.71345059967163,39.73583302465338,36.32463464086007,33.67884121882506,32.939026719367654,616.0525194552974,29.335834259776064,7.526882223870189
East Asia & Pacific,2020-08-10,2362944397,-7.467222366502474,4.0698387459372025,2.112935079302316,-2.1917221216628615,-7.467222366502474,-9.293172284896615,-10.006595014671571,-221.4049858651503,-5.4001216064670805,0.623758816276539
North America,2020-08-10,376814276,63.403615019306535,63.40484883012039,63.40467810261054,63.40413672831251,63.403615019306535,63.40340353476774,63.40333213112501,253.61705817859655,63.40426454464914,47.11207544588889
Other,2020-08-10,3675292,25.283596009762473,53.64536205195618,49.768466378458236,37.60524130383743,25.283596009762473,18.227148051013383,16.855345212470542,160.01998317107723,26.669997195179544,9.850074497482105
Latin America & Caribbean,2020-08-17,660258572,69.06727442205117,71.17479249442991,70.85083425186576,69.57247855071614,68.392667502671,67.57876259563339,67.44360357232134,3309.2774158404145,67.53627379266152,46.44388759257184
South Asia,2020-08-17,1918999115,34.508341104020424,55.333013761364036,49.270957264111516,34.52904173716938,19.337002476893026,7.968547481608486,4.328067380794584,-0.0746074687562787,-0.009325933594534838,3.2472675736486725
Sub-Saharan Africa,2020-08-17,1211214422,24.225500285795764,36.691313870990086,36.517729665301296,24.225500285795764,1.3392880214848268,-14.157152642055586,-18.645231225056126,80.8884878959462,1.6851768311655457,1.7173011336550945
Europe & Central Asia,2020-08-17,923927595,41.1763073151881,41.41142572341504,41.35493714233737,41.1763073151881,40.92856132563254,40.730084569859784,40.65799362550409,2388.977309679095,40.49114084201856,23.67538551546347
Middle East & North Africa,2020-08-17,493379661,41.0769532205181,47.080464514437224,46.150367862827046,42.01073573719738,38.330202192550374,35.61244709568579,34.87244040563699,644.3870910334979,30.685099573023702,8.056495056856427
East Asia & Pacific,2020-08-17,2362944397,-7.3912542890594555,5.514268096361559,2.831369568739854,-1.7353168149127738,-7.3912542890594555,-9.179358643570154,-9.978659231708365,-220.7532604643446,-5.384225864984015,0.6687453170740014
North America,2020-08-17,376814276,66.25952826265282,66.26079211690852,66.26062864172722,66.26006971013105,66.25952826265282,66.25931809490133,66.25924848438693,265.04076419151664,66.26019104787916,49.06555690050342
Other,2020-08-17,3675292,29.238691965415757,59.29934694160602,55.00453183406211,42.290033528358805,29.238691965415757,22.427592796500747,20.68940196940742,183.53800411758004,30.58966735293001,11.863438333607235
Latin America & Caribbean,2020-08-24,660258572,72.65722111929806,74.85569561498326,74.43696393282609,73.14789862042072,71.92428626917987,71.09441228489081,70.94290251828454,3476.1309207866366,70.94144736299258,49.63703144470497
South Asia,2020-08-24,1918999115,37.968880884425005,59.62572936389415,53.05967636096617,37.968880884425005,22.07930440629196,9.668254087113407,6.486995772208976,-0.07296944719587313,-0.009121180899484141,3.614490150507443
