region,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
Polynesia,2020-11-09,672480,-84.67894252742299,88.31219842522295,59.73962774835713,-24.526761240548787,-104.37738818335897,-173.49983983339692,-198.40635159393918,-282.8860567297414,-31.43178408108239,50.498
Northern Europe,2020-11-09,106197356,80431.1529846129,80571.86826548007,80533.13899502857,80462.20750197617,80392.29125172715,80359.68444290668,80348.69135495911,1126513.5600287993,80465.25428777139,77888.209
Northern Africa,2020-11-09,255737737,274532.15083321754,300062.7351133165,278533.19231541094,274532.15083321754,187610.82656840744,161377.10385247174,152459.73915742026,917411.0592688173,131058.72275268818,16787.435
Melanesia,2020-11-09,12188834,-856.0097053157457,3283.610618668342,2985.051682744152,872.1429878958226,-2269.0457311426308,-4261.829614655196,-4941.158541233814,0,0,9.758
Micronesia,2020-11-09,534606,11.978976108485133,255.47606596647486,228.35873098342884,70.13114535127829,-49.15759359714648,-230.98918075063983,-282.8876247121544,0,0,0
Central Asia,2020-11-09,75497721,58386.6172170426,60881.17287328776,60487.79420550007,59035.3986964154,57614.05231596505,56685.58888715675,55882.21224379067,280482.606618522,56096.52132370441,4617.319
Other,2020-11-09,25642027,-4262.792715465576,-4262.792715465576,-4262.792715465576,-4262.792715465576,-4262.792715465576,-4262.792715465576,-4262.792715465576,-8525.585430931153,-4262.792715465576,783.5169999999999
Latin America and the Caribbean,2020-11-16,654992992,693006.7540444569,704618.0165720168,703021.9202029785,693414.987571629,682345.8595546499,673755.4477847215,671841.1457102112,30102629.218137085,668947.3159586019,471162.895
Southern Asia,2020-11-16,1989452477,1495025.4284075296,1706718.579592025,1647275.1247547667,1495025.4284075296,1212010.4973940554,893297.1079678378,637393.8166210531,921718.9678558514,102413.21865065016,188870.33433333333
Sub-Saharan Africa,2020-11-16,1136656566,240486.60449112367,441844.25913087564,391627.89669175964,240486.60449112367,-14587.771351376414,-267805.2254926588,-394564.67872798274,1663392.23486908,33946.78030345061,29751.866666666665
Southern Europe,2020-11-16,150043376,196794.70503564025,196795.2182664417,196795.09666449734,196794.87199248848,196794.63164799617,196794.5077173608,196794.43393499,3148716.7021971135,196794.7938873196,100104.30733333333
Western Asia,2020-11-16,289775883,271455.53542746394,360162.7672374385,343406.5119421844,271455.53542746394,169873.34313607714,136732.54131388883,122729.81688298768,248874.80148961535,13826.377860534185,42804.56133333333
Australia and New Zealand,2020-11-16,31050817,-6034.796441943837,-6034.796441943837,-6034.796441943837,-6034.796441943837,-6034.796441943837,-6034.796441943837,-6034.796441943837,-12069.592883887673,-6034.796441943837,939.1946666666666
Western Europe,2020-11-16,198272204,92547.30155644783,92547.30155644783,92547.30155644783,92547.30155644783,92547.30155644783,92547.30155644783,92547.30155644783,832925.7140080305,92547.30155644783,88069.352
Eastern Europe,2020-11-16,291464163,390588.3599321418,390588.3599321418,390588.3599321418,390588.3599321418,390588.3599321418,390588.3599321418,390588.3599321418,3905883.599321418,390588.3599321418,78303.95066666667
Northern America,2020-11-16,375278947,365807.8301563448,365812.62249748036,365811.90151515737,365809.38788464246,365806.49850967183,365805.2368965561,365804.8890111433,1829047.6223215417,365809.52446430834,258795.992
South-eastern Asia,2020-11-16,675308604,80995.42207712939,189372.3685647193,181012.00885543847,106401.60183548566,-11588.603045602471,-58286.056602988974,-72054.40033003977,-270628.8126022102,-24602.619327473654,25190.333
Eastern Asia,2020-11-16,1613865100,32704.15207489511,663712.4251922781,660433.7057416126,217469.68612053132,-6859.093134180223,-157396.10160603144,-174534.94072372024,-556917.3123274702,-92819.55205457837,5864.586
Polynesia,2020-11-16,672480,-74.87874455750563,105.95973798226258,72.27785734306063,-11.867160675522744,-94.92402683074776,-163.3355318400604,-189.68481922469346,-197.68555617356895,-21.96506179706323,57.498
Northern Europe,2020-11-16,106197356,83951.18251397976,84088.97176312066,84055.94420241372,83982.1996278943,83907.15421949457,83879.34316957672,83866.90655180362,1175729.981346986,83980.71295335614,81287.213
Northern Africa,2020-11-16,255737737,282835.42952859803,308484.38050298515,286221.89822363295,282835.42952859803,195384.4004045652,168791.85496151098,160093.81954829028,948990.9163609279,135570.13090870398,18032.434
Melanesia,2020-11-16,12188834,-838.6180189464052,3385.500734727202,3130.469578382298,909.8261083850776,-2287.973963149929,-4220.184533406164,-4977.2601928049235,0,0,9.758
Micronesia,2020-11-16,534606,12.862283166934322,262.4447074253348,234.56906920820126,72.49098684208934,-46.687387372979686,-231.52883350664354,-290.31252758544605,0,0,0
Central Asia,2020-11-16,75497721,59665.56601477488,62245.001131509314,61803.38829607227,60374.81107573795,58915.10571355912,57923.167489026055,57143.77417441104,286599.4535819726,57319.89071639452,4709.327
Other,2020-11-16,25642027,-4084.021685308608,-4084.021685308608,-4084.021685308608,-4084.021685308608,-4084.021685308608,-4084.021685308608,-4084.021685308608,-8168.043370617216,-4084.021685308608,848.519
Latin America and the Caribbean,2020-11-23,654992992,710540.9376491869,722267.9418839758,720698.6090787428,710835.4919748316,699876.2430122051,690972.0429196516,688857.463157311,30858601.973152325,685746.7105144961,482080.893
Southern Asia,2020-11-23,1989452477,1549888.731749443,1768149.943009029,1715614.1447955386,1549888.731749443,1259634.2412991314,953032.3310446976,659422.5830720257,974029.7594787662,108225.52883097403,196805.33833333332
Sub-Saharan Africa,2020-11-23,1136656566,251875.55082956844,458141.3214685014,409644.8673509531,251875.55082956844,-11327.547304784744,-267422.20016654447,-386748.1181419576,1693732.9228207513,34565.97801675003,30709.886666666665
Southern Europe,2020-11-23,150043376,209974.23954118165,209974.76512194623,209974.64202710422,209974.41831901946,209974.16996600913,209974.03805186556,209973.96839582885,3359589.3047557427,209974.33154723392,109263.31033333333
