region,date,population,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_90_top_per_100k,estimated_daily_excess_deaths_ci_50_top_per_100k,estimated_daily_excess_deaths_ci_50_bot_per_100k,estimated_daily_excess_deaths_ci_90_bot_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths_raw_estimate_per_100k,daily_excess_deaths_per_100k,daily_covid_deaths_per_100k
Sub-Saharan Africa,2021-03-08,1121670004,0.23935130803139038,0.33101723867710836,0.29786290881250277,0.23935130803139038,0.11231560696370857,0.04202645312441759,0.02569211018505055,0.9830065159933268,0.020061357469251567,0.017639412598573868
Southern Europe,2021-03-08,150192351,0.3111876188717145,0.3116921691153759,0.311638717795461,0.3114165674091825,0.31115712277896407,0.3109535112568065,0.31089959820560553,4.977441395430012,0.31109008721437575,0.4962210092842877
Western Asia,2021-03-08,284170120,0.3400146690681798,0.42856402078658834,0.402070896710642,0.3400146690681798,0.25239860396579716,0.16535205656387955,0.1579866383183125,0.5533553955237827,0.03074196641798792,0.09496388994029349
Australia and New Zealand,2021-03-08,30914517,0.004886253916775595,0.004886253916775595,0.004886253916775595,0.004886253916775595,0.004886253916775595,0.004886253916775595,0.004886253916775595,0.00977250783355119,0.004886253916775595,0
Western Europe,2021-03-08,198599053,-0.27917915336883203,-0.27917915336883203,-0.27917915336883203,-0.27917915336883203,-0.27917915336883203,-0.27917915336883203,-0.27917915336883203,-2.5126123803194877,-0.27917915336883203,0.335421035466871
Eastern Europe,2021-03-08,292475148,0.9364463437244847,0.9364463437244847,0.9364463437244847,0.9364463437244847,0.9364463437244847,0.9364463437244847,0.9364463437244847,9.364463437244847,0.9364463437244847,0.4809198352811843
Northern America,2021-03-08,371107718,0.058147858083917536,0.05823018087993785,0.058212751446213164,0.05817818418926879,0.058145315763822834,0.05812346470566336,0.05811969138244047,0.2909041212738456,0.058180824254769115,0.43214245412163593
South-eastern Asia,2021-03-08,674675391,0.20594425524594137,0.2928312732059046,0.2753023194532727,0.230978224506547,0.13586872875181308,0.10000415957026247,0.08819371070445438,0.6775514560135614,0.06159558691032376,0.031041446419082446
Eastern Asia,2021-03-08,1658782555,-0.025701833487601466,0.09744792159463114,0.07698712257204915,0.02242258812711579,-0.028202616132784842,-0.07814895111116332,-0.10681787741005185,-0.03378618723534888,-0.004826598176478412,0.003453496651946644
Polynesia,2021-03-08,633057,-0.16394821670290122,-0.029725266698420027,-0.055045919980864014,-0.10943076403278774,-0.17066081232917377,-0.22269125102394557,-0.25953514607684136,-1.1270865618861563,-0.12523184020957295,0.04517760643986244
Northern Europe,2021-03-08,106727166,-0.10247817594157083,-0.10088458844348093,-0.10125010563883609,-0.10203592532694883,-0.1027617838871815,-0.10323661576351426,-0.10338033794901631,-1.43284173034324,-0.10234583788165999,0.28992524733580954
Northern Africa,2021-03-08,250023393,0.34279582294327926,0.4176520566375032,0.40812516223580586,0.3738330462346342,0.3165567066405557,0.28803657475096917,0.2734798719948308,1.183249703203355,0.19720828386722586,0.0391391376726097
Melanesia,2021-03-08,11328580,-0.10038365197274149,0.09730527162760023,0.08024180810723011,0.01865119035425219,-0.10038365197274149,-0.1471780174913117,-0.19554449030721677,0,0,0.002524588253779379
