region,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
EURO,2021-11-22,935273721,11160.072774423305,11305.744855981826,11251.980618991998,11160.072774423305,10765.953855691745,10560.630451765986,10541.118453361549,529171.1654184365,9984.361611668613,4289.142
AMRO,2021-11-22,1026162142,2663.307902214725,2785.4546874068046,2781.873533579922,2710.208665407646,2631.2277797053657,2539.3477980480297,2527.7325613800995,84486.4791467605,2413.899404193157,1789.5700000000002
WPRO,2021-11-22,1939733436,3764.0720378698093,6117.635754995813,5760.220917753403,3993.3311416345587,2523.1053898388072,1451.526420939402,930.0562974751242,9978.583064306631,369.5771505298752,466.714
SEARO,2021-11-22,2040340794,8224.99845235044,15598.771901990462,12141.564968481964,8224.99845235044,4613.08644884679,2667.21528024303,1975.952665642102,2683.590405682963,243.96276415299664,429.42800000000005
Other,2021-11-29,44430902,66.11709343454761,90.84862000248602,83.97354205979741,75.60386854235863,63.875197659693185,56.46161856735948,54.331021452460064,1887.456140685398,52.42933724126105,3.287
EMRO,2021-11-29,739378959,2041.6237668411525,2913.8614810266104,2824.2127851219775,2268.227986659365,1804.2383597386165,1545.631006110001,1506.7604373499912,14574.398241173123,694.0189638653868,246.715
AFRO,2021-11-29,1148918838,2972.6451157156594,4208.9570620206705,3355.8020401223584,2972.6451157156594,1751.4118469018356,1183.999022246732,1091.8640912069984,11573.400652263523,246.24256706943666,87.719
EURO,2021-11-29,935273721,11628.867952339815,11768.478750685277,11705.606296824806,11628.867952339815,11234.061394161941,11039.24260152103,10990.579130681186,555060.1511327223,10472.833040240042,4209.856
AMRO,2021-11-29,1026162142,3004.131960170232,3157.7703410079002,3125.6000149901884,3064.4755361278267,2985.261353752375,2906.3870134103113,2899.063895304872,96025.31248009382,2743.5803565741094,1622.143
WPRO,2021-11-29,1939733436,2648.2783390032973,5296.207154206662,4862.271913950141,3474.545106568327,2017.7766553073764,862.6959884711749,567.5130723822111,10919.725921449488,404.4342933870181,448.716
SEARO,2021-11-29,2040340794,7761.08926589572,13620.625167506565,12223.523864682691,7761.08926589572,4580.34253929279,2745.0488311975073,1613.1438922089023,2683.590405682963,243.96276415299664,498.571
Other,2021-12-06,44430902,48.00179972517356,76.01757855405447,70.14551495284702,58.37573447457352,44.60830026416166,39.20269975091964,35.67319330555518,1157.887108427336,32.16353078964822,5.5729999999999995
