region,date,population,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_90_top_per_100k,estimated_daily_excess_deaths_ci_50_top_per_100k,estimated_daily_excess_deaths_ci_50_bot_per_100k,estimated_daily_excess_deaths_ci_90_bot_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths_raw_estimate_per_100k,daily_excess_deaths_per_100k,daily_covid_deaths_per_100k
South Asia,2020-03-16,1918999115,0.006328087691044843,0.1209166132235562,0.10915548113237829,0.02561331941298256,-0.04703403964795175,-0.1303587566369777,-0.1352860725701788,-6.643146702042524e-4,-8.303933377553155e-5,1.4903602495929237e-5
Sub-Saharan Africa,2020-03-16,1211214422,-0.05344968268452633,0.0737433441273454,0.05904373710945099,0.010986037678404718,-0.07078836897504005,-0.13774224111374306,-0.14053499459657912,0.023027322662764766,4.7973588880759926e-4,1.1806332339064568e-5
Europe & Central Asia,2020-03-16,923927595,0.23823274456013896,0.2402373973728146,0.23992746256912786,0.23866685103738433,0.2370903807519456,0.2359975130771929,0.23590637532664352,14.096144356685384,0.23891770096076925,0.03437195746924303
Middle East & North Africa,2020-03-16,493379661,0.13968526009916493,0.16398841198574973,0.16083665720456813,0.1501004496306682,0.1367337266484161,0.1283098996088901,0.12701968423341098,3.049056075831374,0.14519314646816064,0.01560684521204858
East Asia & Pacific,2020-03-16,2362944397,-0.07425193685033112,-0.058362524231125174,-0.05989998561019149,-0.06873207531612123,-0.08162659561286834,-0.09263972559830266,-0.09453066329276744,-2.4713412042782656,-0.06027661473849429,9.310841180999656e-4
North America,2020-03-16,376814276,0.052907218798927576,0.052912089859525856,0.05291167945088015,0.05290904578244871,0.05290663811003985,0.052904327127875586,0.05290403293887548,0.21164041095790131,0.05291010273947533,0.002236911002809246
Other,2020-03-16,3675292,-0.05277272517069374,0.048638003755174256,0.039034361518484745,-0.02707501570805809,-0.0742030738357472,-0.10294866747043778,-0.14095557672374037,-0.09596601492647625,-0.015994335821079373,0
Latin America & Caribbean,2020-03-23,660258572,0.03841498128229056,0.04598126433052912,0.04409596072245852,0.040988594680113156,0.03492260692408235,0.030133160385606525,0.03002116931721561,2.155055023410137,0.043980714763472185,0.001709330325816656
South Asia,2020-03-23,1918999115,-0.07252867256159062,0.11606908304586187,0.07381344438681887,-0.018567262792445912,-0.0995681680435258,-0.18521457894825186,-0.2053610329415858,-6.643146702042524e-4,-8.303933377553155e-5,9.682130572530254e-5
Sub-Saharan Africa,2020-03-23,1211214422,-0.07851315738514221,0.10264492497828734,0.05833240333010653,-1.718003224275112e-4,-0.09101738545281678,-0.15676460170085085,-0.16067831829369772,-0.24124580912746393,-0.005025954356822166,1.2978709396510143e-4
Europe & Central Asia,2020-03-23,923927595,0.4636266152972988,0.46521215154959167,0.4646978638679407,0.4636266152972988,0.46186927394507954,0.46101355669789146,0.459092867590007,27.40527534131988,0.4644961922257606,0.13342127745410612
Middle East & North Africa,2020-03-23,493379661,0.032205729978594035,0.056192429471094374,0.0556485356741602,0.0438349145583873,0.030227912834354227,0.02253147666367805,0.01737221850777055,0.9390096302807798,0.044714744299084744,0.02883925123942229
East Asia & Pacific,2020-03-23,2362944397,0.007892735216982506,0.029106013580432553,0.026947273465648854,0.01674094175173737,0.004091473891623303,-0.00779028671190768,-0.010292576850051813,1.1097199544766017,0.027066340353087845,0.0010822514500327448
North America,2020-03-23,376814276,0.22928188581286094,0.22928772179078472,0.22928641479370468,0.2292830935983536,0.22928037371058257,0.2292779153259826,0.22927741740945287,0.9171338514452768,0.2292834628613192,0.015847064138302447
Other,2020-03-23,3675292,-0.051475577645996945,0.08633049711404685,0.053636259401062716,-0.018602442715133487,-0.06912737402427799,-0.11207058604671202,-0.1368157294645592,-0.09596601492647625,-0.015994335821079373,0.0038908473122679773
Latin America & Caribbean,2020-03-30,660258572,0.10819832937762243,0.11663445241438791,0.11577262938333822,0.11037041978842015,0.10368124000522053,0.09815793926106005,0.09777462650153423,5.636155858957763,0.1150235889583217,0.008135449091905163
South Asia,2020-03-30,1918999115,-0.09921185903779174,0.22503670079327276,0.126703817166892,-0.04135098019271694,-0.1360537569872144,-0.21827693748591717,-0.2240038080715569,-6.643146702042524e-4,-8.303933377553155e-5,2.53152800437847e-4
Sub-Saharan Africa,2020-03-30,1211214422,-0.10005989159890735,0.07056376839533732,0.05209641872560069,-0.017427226383425917,-0.10694009189423041,-0.17629970636857137,-0.20976987390677113,-0.5461676359959623,-0.011378492416582548,3.42135952539046e-4
Europe & Central Asia,2020-03-30,923927595,0.6477529271829436,0.6515348845932842,0.6508210100001565,0.6480863320953972,0.6458525346373734,0.6435741943168222,0.643092982635346,38.322006476357735,0.6495255334975888,0.30172418435018167
Middle East & North Africa,2020-03-30,493379661,0.034654658492445554,0.08776614394895575,0.07928300097493392,0.04605649011689993,0.03241879517704014,0.02134790431970344,0.018813703041637944,0.9786059118956395,0.04660028151883998,0.031763773902305226
East Asia & Pacific,2020-03-30,2362944397,-0.06038100291873993,-0.027825974181673707,-0.03197197060947699,-0.05123567573352542,-0.07389319079750953,-0.1014139047692802,-0.116086905330797,-0.5386731740670796,-0.013138370099197064,0.001565885344021491
North America,2020-03-30,376814276,0.6007054708687136,0.6007104908458393,0.6007090143949644,0.600706466170091,0.6007027701393058,0.600700248170143,0.6006995549032231,2.4028221787860606,0.6007055446965152,0.08348170970040425
Other,2020-03-30,3675292,-0.039832367082685734,0.14061083566148436,0.10724290391631777,0.00993340858119531,-0.06114814275701418,-0.09978094630086509,-0.12828690997319103,-0.09596601492647625,-0.015994335821079373,0
Latin America & Caribbean,2020-04-06,660258572,0.11340291638460487,0.12555137037353525,0.12403866553049325,0.11996032219265891,0.11089156525447427,0.10616968010599905,0.10583700550761205,6.019642340310315,0.12284984367980237,0.022956763672278384
South Asia,2020-04-06,1918999115,-0.051263657870246386,0.32971849651660917,0.3014748195309507,-0.01849670850646485,-0.10592358197718382,-0.21115867304553426,-0.23736312339859048,-1.8969449356871876e-4,-2.3711811696089845e-5,9.230853657793374e-4
