continent_alt,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
"W. Europe, NA, and Aus/NZ",2021-03-01,1062311981,1216.9429851044247,1217.8995897023963,1217.8093255086037,1217.399582697471,1216.7524540894458,1216.4318988811153,1216.3399242473647,55977.92294347414,1216.9113683363944,5373.714
"W. Europe, NA, and Aus/NZ",2021-03-08,1062311981,1400.6734396001216,1401.5807481789814,1401.516696069765,1401.1398437404412,1400.4113024314236,1400.0278998027372,1399.853226691281,64416.87623057484,1400.3668745777138,4730.857
"W. Europe, NA, and Aus/NZ",2021-03-15,1062311981,1787.655914750315,1788.5740210778058,1788.5530860057354,1788.1870502903898,1787.4076541558668,1787.0556294528526,1786.8690770026224,82217.16765914607,1787.3297317205668,4129.43
"W. Europe, NA, and Aus/NZ",2021-03-22,1062311981,2578.995663105998,2579.8516737462087,2579.8109850484343,2579.4693788657205,2578.742320869815,2578.4629381239465,2578.31329222557,118629.32194486116,2578.8983031491557,3873.431
"W. Europe, NA, and Aus/NZ",2021-03-29,1062311981,2663.524314667283,2664.275523072307,2664.2242968202486,2663.875132428688,2663.3567587187554,2663.0539160921244,2662.9175250499343,122511.32765914594,2663.289731720564,4119.284
"W. Europe, NA, and Aus/NZ",2021-04-05,1062311981,3132.479551295245,3133.1339857339594,3133.0481301456516,3132.791338500364,3132.479551295245,3132.1073213877316,3132.0879392278002,144098.0875362583,3132.567120353441,3625.1440000000002
"W. Europe, NA, and Aus/NZ",2021-04-12,1062311981,2868.9175332662144,2869.6467812764618,2869.567707542536,2869.3149221517656,2868.9175332662144,2868.5939160526054,2868.5469600106107,131973.9332505445,2868.9985489248807,4450.427
"W. Europe, NA, and Aus/NZ",2021-04-19,1062311981,3185.006393701394,3185.790700482523,3185.735328353295,3185.4350533077395,3185.006393701394,3184.6885215745824,3184.673270143624,146512.82467911553,3185.0614060677285,3688.859
"W. Europe, NA, and Aus/NZ",2021-04-26,1062311981,2778.466563791005,2779.2449990788414,2779.1489058422403,2778.8945325894924,2778.466563791005,2778.139352362783,2778.116931740061,127811.98467911532,2778.5214060677245,3445.573
"W. Europe, NA, and Aus/NZ",2021-05-03,1062311981,2183.5827558531787,2184.3447035506574,2184.2014952254485,2183.8972305925204,2183.4684481059276,2183.193281061222,2183.1548113541558,100443.83881122046,2183.5617132874013,3021.857
"W. Europe, NA, and Aus/NZ",2021-05-10,1062311981,1961.3982744989396,1962.2883543470875,1962.0592839320764,1961.8123792799481,1961.3522341927946,1961.1053818485761,1961.0109098946677,90228.6845255063,1961.4931418588326,2612.2850000000003
"W. Europe, NA, and Aus/NZ",2021-05-17,1062311981,1526.452846533863,1527.2347564754093,1527.0390713919437,1526.7544926666476,1526.3394158396009,1526.1623597013693,1526.1448984964666,70218.1588112208,1526.4817132874086,2115.996
"W. Europe, NA, and Aus/NZ",2021-05-24,1062311981,948.9220857586677,949.6168250269261,949.487347931462,949.2191523650218,948.8332654069748,948.668403850772,948.6605239134423,43651.975954077294,948.9559990016803,1766.287
"W. Europe, NA, and Aus/NZ",2021-05-31,1062311981,1228.3657383157354,1228.9072663437812,1228.8618978033624,1228.5669943978628,1228.3018560059973,1228.1289454136938,1228.1071933538171,56505.95309693385,1228.3902847159534,1680.142
"W. Europe, NA, and Aus/NZ",2021-06-07,1062311981,1103.20706220753,1103.5249616422552,1103.4774501581244,1103.336546983633,1103.1467136156575,1103.0003164208847,1102.9202095895807,50748.228488639135,1103.222358448677,1278.2416666666666
"W. Europe, NA, and Aus/NZ",2021-06-14,1062311981,1578.036923773318,1578.2857694835466,1578.2631523224245,1578.1345647511362,1577.9790650045397,1577.8434296104815,1577.7720267210673,72590.47420292484,1578.0537870201053,1099.717
"W. Europe, NA, and Aus/NZ",2021-06-21,1062311981,1232.3215063431405,1232.6295796076352,1232.5900440110238,1232.4464601164855,1232.263506292436,1232.1708599698075,1232.1073223102633,56685.9084886387,1232.3023584486673,871.715
"W. Europe, NA, and Aus/NZ",2021-06-28,1062311981,1295.7763016565161,1296.1440418547918,1296.088422761,1295.9047162090615,1295.7256028937854,1295.5546371560822,1295.5141737634297,59605.06848863879,1295.7623584486694,848.3826666666666
"W. Europe, NA, and Aus/NZ",2021-07-05,1062311981,1106.489016033449,1106.9973111440152,1106.980320339656,1106.6908834336093,1106.479388915025,1106.343145482201,1106.3377020154794,50896.50959463048,1106.4458607528366,684.0946666666666
"W. Europe, NA, and Aus/NZ",2021-07-12,1062311981,1655.2359643284506,1655.8232868770458,1655.7681406573215,1655.587572508684,1655.2359643284506,1655.0623788059004,1655.0402665171835,76135.92102320112,1655.1287178956766,647.359
"W. Europe, NA, and Aus/NZ",2021-07-19,1062311981,2141.4691675846893,2142.227851982528,2142.1855005133802,2141.9401563889865,2141.4691675846893,2141.213192257421,2141.182799360063,98498.49245177364,2141.2715750385573,622.429
"W. Europe, NA, and Aus/NZ",2021-07-26,1062311981,2840.7274930348835,2841.514885788026,2841.455262559394,2841.1834012150125,2840.7274930348835,2840.5542280962914,2840.4682030971553,130665.10959463,2840.5458607528262,787.574
"W. Europe, NA, and Aus/NZ",2021-08-02,1062311981,3835.022718789071,3835.8902328884633,3835.835450913519,3835.4806173320417,3835.022718789071,3834.7355188853917,3834.7194215929503,176380.72360384642,3834.363556605357,1050.215
"W. Europe, NA, and Aus/NZ",2021-08-09,1062311981,5009.098056753479,5009.828627658891,5009.76938132614,5009.514251570248,5009.029597564739,5008.842550335113,5008.783834866275,230383.54074670395,5008.337842319651,1343.2160000000001
"W. Europe, NA, and Aus/NZ",2021-08-16,1062311981,5650.249057334501,5650.919615168788,5650.838886378514,5650.633729270071,5650.177420483512,5649.933142754005,5649.903324478119,259886.7578895607,5649.712128033928,1672.143
