continent_alt,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
W. Europe,2020-05-25,530152257,280.1293002405136,280.3239213046187,280.30976407792224,280.1293002405136,279.88493935320895,279.69983271826754,279.6714103857018,11487.878759733785,280.19216487155575,914.916
W. Europe,2020-06-01,530152257,326.32917195792135,326.5184786890146,326.5028772742173,326.37440309942576,326.1842707319761,326.0272948965437,325.9976687191563,13381.714735156153,326.3832862233208,580.5266666666666
W. Europe,2020-06-08,530152257,210.5317391974099,210.67859942771537,210.67707956760503,210.57011543619848,210.39892767912895,210.25307179669312,210.17659466165156,8631.571878013316,210.52614336617845,427.288
W. Europe,2020-06-15,530152257,-117.08186370672446,-116.91090135520884,-116.92119987717126,-117.02214917142501,-117.17605822624944,-117.36195219886923,-117.38979036292614,-4800.02812198703,-117.07385663383002,297.43
W. Europe,2020-06-22,530152257,443.4859724446739,443.6235488656334,443.6048171835087,443.5352642215444,443.39335117291483,443.2757494062797,443.23726387720984,18182.58044944185,443.47757193760617,236.57
W. Europe,2020-06-29,530152257,210.25645265053308,210.34812670707632,210.3422382095335,210.2928692428276,210.18268062448138,210.08241626959884,210.06520770687223,8620.56044944215,210.2575719376134,201.431
W. Europe,2020-07-06,530152257,-52.76655711026531,-52.67905882942654,-52.68702590036395,-52.73134396237222,-52.83424489995736,-52.92852166013455,-52.993593349051565,-2163.3489822019715,-52.76460932199931,167.543
W. Europe,2020-07-13,530152257,-84.33564265413506,-84.22706348666281,-84.23380509266356,-84.30304586869057,-84.4082905834762,-84.53162962546027,-84.58193849508146,-3457.77755362975,-84.33603789340853,129.287
W. Europe,2020-07-20,530152257,-66.31284587158774,-66.25380927069507,-66.26430304921246,-66.31284587158774,-66.43307089086139,-66.55461336958828,-66.61431898240494,-2719.7775536302274,-66.33603789342018,118.888
W. Europe,2020-07-27,530152257,831.3627642271002,831.4571300154116,831.4466366729351,831.3735563030275,831.2494273858615,831.1797790204832,831.1330780122458,34085.92244636954,831.3639621065743,104.69033333333333
W. Europe,2020-08-03,530152257,612.6114942014779,612.7159910527902,612.7096960596726,612.6197365928213,612.4936542997598,612.3747594056302,612.3703064587562,25117.07608692301,612.611611876171,117.43
