region,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
AFRO,2021-05-17,1162657993,756668.890621943,1157818.8384617157,1067912.3645690302,779364.8349842307,381934.8638286921,81112.37796510391,-21898.014735728113,8743701.382988269,186036.19963804825,84901.19166666667
EURO,2021-05-17,932917123,1942345.7248934845,1980494.3603079254,1972361.233709105,1942345.7248934845,1868468.3695916554,1826471.1850384225,1824819.399941857,91342824.01490955,1723449.5097152747,1129977.2983333333
AMRO,2021-05-17,1026253581,2274187.4041110477,2292664.64158019,2285878.991017806,2274187.4041110477,2250781.44469357,2233554.420353676,2232581.9989840267,75497787.29855238,2157079.6371014966,1697195.472
WPRO,2021-05-17,1924140566,249813.25699692642,827657.6217174869,719448.9152719333,300330.60882189526,44894.02588868535,-254383.0281006692,-324690.55933369044,-2075963.3708020013,-76887.53225192598,39647.97666666667
SEARO,2021-05-17,2030500787,3425569.2194355936,4714803.503482922,4540726.983159342,3577519.5050981077,2764743.2519816235,1125898.3288273509,889782.295796673,59666.35794640868,5966.635794640867,349350.6963333333
Other,2021-05-24,44753371,2908.3447151457613,8299.077316391604,7407.35875541697,4955.882940877078,1977.345609350629,-1095.3393535251566,-3694.8506687852773,-4825.348263551021,-134.0374517653059,6620.532333333334
EMRO,2021-05-24,761408469,1447016.0476615655,1575548.2562103579,1574151.5981328387,1447016.0476615655,1069033.0150127918,850505.7140646168,798701.5304965572,7887539.043646428,375597.09731649654,195553.08966666667
AFRO,2021-05-24,1162657993,775791.9955242253,1185603.6615611543,1104799.2193253925,801938.9130952398,389712.81068461796,97253.2452343827,-5065.691253282382,8844399.989123376,188178.72317283778,86046.21666666666
EURO,2021-05-24,932917123,1957692.0456896229,1995413.5080760242,1987444.2058550909,1957692.0456896229,1881877.3361380384,1839253.6353500527,1837525.7792853094,91892466.15997356,1733820.1162259164,1143133.3153333333
AMRO,2021-05-24,1026253581,2310832.089252619,2329353.9072329854,2323589.277271509,2310832.089252619,2286486.860320617,2269520.4412966673,2268338.763456986,76530738.36564547,2186592.5247327276,1729173.467
WPRO,2021-05-24,1924140566,260001.47008185566,838192.1357553701,744228.4230680843,312350.09847351257,61514.866162112965,-237656.43917668087,-326130.5884491097,-1927067.724398202,-71372.87868141489,41598.96766666667
SEARO,2021-05-24,2030500787,3848720.3304553805,5274375.928596743,5016823.077795079,3956578.0410516504,3019553.100524541,1242038.3553840485,970323.3040256969,66025.05036184964,6602.5050361849635,381046.71733333333
Other,2021-05-31,44753371,3019.613720077539,8566.301815843852,7651.3283979327025,5171.991770197858,2113.2828054135643,-1020.5760545403496,-3709.52405253324,-1833.0751897654886,-50.91875527126332,6748.527333333333
EMRO,2021-05-31,761408469,1508118.8841275163,1640435.5595534851,1635458.9649278622,1508118.8841275163,1091860.6436006217,869683.2577462787,821572.2149373887,8085304.10165722,385014.4810312962,198915.10566666667
AFRO,2021-05-31,1162657993,796086.1190706486,1213042.0436657513,1136177.8184087006,817162.9991975322,397368.84221722174,115231.46531772641,10493.171200815155,8972349.195258483,190901.0467076273,87224.22566666667
EURO,2021-05-31,932917123,1973993.785949756,2010881.5264129145,2003481.0853089972,1973993.785949756,1895638.96260013,1852988.7225643282,1851209.5454179929,92505513.26503757,1745387.042736558,1154364.3113333334
AMRO,2021-05-31,1026253581,2348884.9785166886,2367185.6195976296,2362101.021992143,2348884.9785166886,2323553.5610729917,2305957.901595175,2305087.068326303,77590397.93273854,2216868.5123639586,1762328.456
WPRO,2021-05-31,1924140566,272575.21923929977,849592.2952531277,764118.2648403236,326036.73971126496,77179.28885433523,-232106.75214703128,-327759.5184377598,-1786790.4779944029,-66177.4251109038,43823.973666666665
SEARO,2021-05-31,2030500787,4100562.460855761,5663802.987954995,5429411.824232884,4241811.266664776,3160624.6130636353,1310657.464562474,1040411.0135451233,72383.74277729061,7238.37427772906,408354.73233333335
Other,2021-06-07,44753371,3544.0518586401304,9168.168037735311,8315.277805354,5811.1372753036085,2663.52703060709,-504.06640954083787,-3334.1114887005074,16637.20046466522,462.144457351812,6933.530333333333
EMRO,2021-06-07,761408469,1562939.4054534258,1699110.5554847857,1694068.9644062633,1562939.4054534258,1120835.7308271334,885734.2076653914,838170.6287582625,8204437.369345432,390687.4937783539,202274.10466666668
AFRO,2021-06-07,1162657993,815544.5264488651,1238379.6806829623,1165550.1607053967,835349.6559055645,406678.26075183303,127968.56313920826,28280.365701089722,9107296.266769934,193772.260995105,88372.24666666667
EURO,2021-06-07,932917123,1996585.122953514,2033083.9565388002,2025924.0994164478,1996585.122953514,1916254.8720894442,1873341.107118895,1870967.0199104617,93462716.64515534,1763447.4838708555,1163406.6686666666
AMRO,2021-06-07,1026253581,2384388.633718173,2401796.103107839,2397223.018020518,2384388.633718173,2357627.536412803,2339960.09371246,2338996.9650122793,78536561.24230474,2243901.7497801357,1792490.448
