custom_regions,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
Oceania,2020-05-18,43430556,-1940.4904839736328,253.97097192705314,48.699772782904674,-734.2661278469343,-1940.4904839736328,-2304.883873173845,-2552.5284385809678,-13879.086879292108,-603.4385599692221,125.006
European Union,2020-05-18,447045744,135004.25381875882,135004.25381875882,135004.25381875882,135004.25381875882,135004.25381875882,135004.25381875882,135004.25381875882,3645114.853106488,135004.25381875882,122508.001
North America,2020-05-18,370982987,135395.31806461338,135395.31806461338,135395.31806461338,135395.31806461338,135395.31806461338,135395.31806461338,135395.31806461338,270790.63612922677,135395.31806461338,101424.008
Latin America and Caribbean,2020-05-25,658737988,124650.36836584203,131106.7871262724,129403.29216554471,126234.89034261912,121791.95349722532,119049.66719003672,118343.75514752066,6041056.296112566,125855.33950234513,55263.992
Asia,2020-05-25,4678110154,-11875.202756688084,37262.43456258755,27368.186021087204,-11875.202756688084,-223270.15764466499,-398807.78899419855,-466296.1305072407,-5300064.849832049,-106001.29699664097,27929.290666666668
Oceania,2020-05-25,43430556,-2332.145414066944,-47.40742802878145,-209.2304439415728,-1067.7487156555278,-2332.145414066944,-2731.6055447642775,-2958.379140350493,-20696.15887010609,-899.8329943524387,128.009
European Union,2020-05-25,447045744,135231.90058611738,135231.90058611738,135231.90058611738,135231.90058611738,135231.90058611738,135231.90058611738,135231.90058611738,3651261.3158251694,135231.90058611738,126790.412
North America,2020-05-25,370982987,142632.56731236324,142632.56731236324,142632.56731236324,142632.56731236324,142632.56731236324,142632.56731236324,142632.56731236324,285265.1346247265,142632.56731236324,109694.011
Latin America and Caribbean,2020-06-01,658737988,148610.89199527018,155213.23739940682,153578.18929143122,150274.93980498984,145679.10074657114,143073.92451487415,141862.76714042164,7171921.559302285,149415.03248546427,69496.994
Asia,2020-06-01,4678110154,42277.411453798595,104935.98390151789,81138.9227142111,42277.411453798595,-181981.5940807421,-360205.55293616443,-440662.85342551797,-5172105.1689355,-103442.10337870999,31428.296666666665
Oceania,2020-06-01,43430556,-2825.963791907533,-442.71602518281423,-563.3815694565149,-1505.8926704729754,-2825.963791907533,-3256.446728150257,-3442.754111098011,-29916.033441565236,-1300.6971061550103,130.17666666666668
European Union,2020-06-01,447045744,136754.571869605,136754.571869605,136754.571869605,136754.571869605,136754.571869605,136754.571869605,136754.571869605,3692373.4404793344,136754.571869605,129395.09566666666
North America,2020-06-01,370982987,148346.21656011313,148346.21656011313,148346.21656011313,148346.21656011313,148346.21656011313,148346.21656011313,148346.21656011313,296692.43312022625,148346.21656011313,116851.014
Latin America and Caribbean,2020-06-08,658737988,173873.87173401183,180513.5060170356,179369.98062482898,175783.10300559909,170706.90252267942,168267.56024507154,166732.01437885305,8363137.222492004,174232.02546858342,87159.996
Asia,2020-06-08,4678110154,113444.75736970906,183930.03754346908,135933.2381468295,113444.75736970906,-154710.55182462875,-319057.5744208071,-438113.18098239094,-5024440.488038951,-100488.80976077901,35820.32066666667
Oceania,2020-06-08,43430556,-3252.410606657143,-767.363922370945,-856.0319230096786,-1863.9189877508913,-3252.410606657143,-3742.144008192597,-3865.1679094006386,-37594.448013024376,-1634.5412179575817,130.17666666666668
European Union,2020-06-08,447045744,137585.6431530926,137585.6431530926,137585.6431530926,137585.6431530926,137585.6431530926,137585.6431530926,137585.6431530926,3714812.3651334997,137585.6431530926,131230.10366666666
North America,2020-06-08,370982987,153326.465807863,153326.465807863,153326.465807863,153326.465807863,153326.465807863,153326.465807863,153326.465807863,306652.931615726,153326.465807863,122562.013
Latin America and Caribbean,2020-06-15,658737988,199293.4857481566,205971.68400403345,205371.80048297896,201702.2190782241,195917.91437662102,193268.79622846455,192282.67975110264,9556801.685681723,199100.03511836924,104170.997
Asia,2020-06-15,4678110154,178438.1746769441,244125.4497841894,202437.42805197887,178438.1746769441,-114518.50407069248,-275246.14562083746,-411133.0360389421,-4911547.807142402,-98230.95614284805,41329.31366666667
Oceania,2020-06-15,43430556,-3792.1855988857374,-1208.7424536395815,-1311.6448508989472,-2341.9174614714616,-3792.1855988857374,-4333.0708336339,-4489.93675622,-47845.64258448349,-2080.245329760152,130.17666666666668
European Union,2020-06-15,447045744,136765.3144365801,136765.3144365801,136765.3144365801,136765.3144365801,136765.3144365801,136765.3144365801,136765.3144365801,3692663.489787663,136765.3144365801,132571.10766666668
North America,2020-06-15,370982987,158541.51505561286,158541.51505561286,158541.51505561286,158541.51505561286,158541.51505561286,158541.51505561286,158541.51505561286,317083.03011122573,158541.51505561286,127617.014
Latin America and Caribbean,2020-06-22,658737988,224586.83792841315,231322.86826357635,231274.9269422926,227176.18972504867,221057.76462334936,218465.33985684472,217850.87393959943,10741689.348871443,223785.19476815505,123350.017
Asia,2020-06-22,4678110154,257051.5487057467,319618.1544276144,273777.0185540312,257051.5487057467,-55296.014229264576,-234853.52189004704,-371698.8227297671,-4723476.113704047,-94469.52227408095,49224.312666666665
Oceania,2020-06-22,43430556,-4398.044076678553,-1714.5428145331682,-1854.6246537020863,-2904.906471111707,-4398.044076678553,-4998.674126352396,-5180.3910753994,-59608.857155942635,-2591.6894415627235,130.17666666666668
European Union,2020-06-22,447045744,140245.8457200677,140245.8457200677,140245.8457200677,140245.8457200677,140245.8457200677,140245.8457200677,140245.8457200677,3786637.834441828,140245.8457200677,133709.09766666667
North America,2020-06-22,370982987,164342.56430336268,164342.56430336268,164342.56430336268,164342.56430336268,164342.56430336268,164342.56430336268,164342.56430336268,328685.12860672537,164342.56430336268,131833.016
Latin America and Caribbean,2020-06-29,658737988,250998.41813900694,258024.2870644268,257659.13915432678,253661.31840838387,247285.60024189585,244282.60757643846,244126.38252384253,11965499.412061162,249281.2377512742,141988.035
Asia,2020-06-29,4678110154,348007.17320510454,407101.76182507374,362169.52616371756,348007.17320510454,25861.28210860486,-175107.80031971962,-306314.2645705554,-4558785.420265692,-91175.70840531385,55936.31166666667
Oceania,2020-06-29,43430556,-4985.7308908009,-2193.12405905864,-2295.095371665189,-3435.083122684471,-4985.7308908009,-5606.767926947822,-5860.385819867935,-71011.89172740179,-3087.4735533652956,132.17866666666666
European Union,2020-06-29,447045744,141839.23700355535,141839.23700355535,141839.23700355535,141839.23700355535,141839.23700355535,141839.23700355535,141839.23700355535,3829659.3990959944,141839.23700355535,134664.10766666668
North America,2020-06-29,370982987,171107.01355111258,171107.01355111258,171107.01355111258,171107.01355111258,171107.01355111258,171107.01355111258,171107.01355111258,342214.02710222517,171107.01355111258,135770.012
Latin America and Caribbean,2020-07-06,658737988,283640.55413007893,291170.9136503103,290310.3567013167,286307.55817834276,279876.4150898436,276641.8852595868,275987.10613788594,13485781.088154105,280953.7726698772,160479.046
Asia,2020-07-06,4678110154,424908.8458048952,498322.20609988325,465228.4878030234,424908.8458048952,70900.11933609107,-115726.30553558095,-235465.41601840308,-4220729.259085403,-84414.58518170805,63432.310666666664
