custom_regions,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
Asia,2021-07-26,4640537428,7152445.55019506,10000703.956991082,9579454.03131621,7227788.004020541,4688598.933934618,3022251.160227483,2672448.599617449,9405841.071707547,184428.2563079911,881894.51
Asia,2020-08-03,4640537428,1042443.1762547432,1981260.4777394538,1781606.180841177,1212575.4011840005,482796.2512532133,205995.66015122872,-42410.095140898484,1198642.107017161,23502.7864121012,101207.19
Asia,2020-08-10,4640537428,1180254.6070332094,2075080.7650844806,1906262.6219474901,1337441.6633778957,569892.6445956558,268641.04869401903,-3695.159785909429,1597337.458062061,31320.34231494238,111464.192
Asia,2021-08-02,4640537428,7302446.133160755,10184832.937878573,9752713.405866971,7380967.323824143,4780059.538381909,3052571.2442631973,2757808.8343635947,9405841.071707547,184428.2563079911,911555.519
Asia,2020-11-16,4640537428,3023880.935073359,4075483.1132527865,3908724.463824082,3068345.8012950155,1635663.271207,1077657.773359748,722098.024399659,6285651.6286093155,123248.07114920225,268399.25
Asia,2020-11-23,4640537428,3143165.2487211083,4199362.530564956,4023604.4806601526,3192448.066198515,1694932.1792523623,1134222.9314942127,768154.6650579245,6628182.774254495,129964.36812263717,280497.252
Asia,2020-11-30,4640537428,3265001.836149958,4323656.75471777,4139549.214978877,3314877.2574107717,1758694.3080025401,1186368.1447257977,824845.1051355599,6990134.719899676,137061.46509607206,292587.295
Asia,2020-12-07,4640537428,3388710.5052091465,4445631.62655906,4265148.959185571,3444993.430041623,1827551.7195264343,1238106.091183637,879268.465703388,7425890.794577114,145605.70185445322,303918.307
Asia,2020-08-17,4640537428,1323475.8422309041,2187533.6604005652,2029445.5577035607,1474127.295153816,703624.1778313826,314380.3076557023,72685.24704345084,2005284.2091069615,39319.298217783566,121960.188
Asia,2020-08-24,4640537428,1459696.0671262147,2266326.725324962,2158220.438667672,1629319.3276427037,767231.0830925602,346240.7204770416,186919.77246272273,2405652.360151862,47169.65412062474,131962.194
Asia,2020-11-09,4640537428,2906221.149820303,3952750.8797082547,3795331.665045915,2943438.8127351073,1575442.6498410217,990005.9821270518,712164.5661857005,5929554.482964135,116265.77417576735,257442.248
Asia,2020-08-31,4640537428,1593870.5583709325,2393699.356637802,2347400.921893315,1761922.676222105,859807.0966866416,377924.31612336903,231743.69166593504,2791383.511196762,54733.01002346592,142797.207
Asia,2020-09-07,4640537428,1732222.2241495082,2652908.6514673345,2482972.075607726,1894470.9694413114,947721.9889832018,467305.78775889985,269113.2462257252,3050203.6190158552,59807.914098350106,154205.226
Asia,2020-09-14,4640537428,1877310.0975404156,2908775.5682385988,2617869.8151555345,2043471.8410813543,1026994.8509803424,542035.3620017794,327196.51735384774,3313409.7268349486,64968.81817323429,166610.22699999998
Asia,2020-09-21,4640537428,2023423.7000217533,3027168.831792762,2755877.255237112,2169256.6321799466,1098818.5200063894,593074.3327499412,398049.3682408556,3649704.9324801294,71562.84181333588,179349.212
