custom_regions,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
Latin America and Caribbean,2021-10-25,658737988,326.3121375289121,333.5775050699306,333.3796357035258,329.2440099749714,322.37995895769154,318.6886844425019,318.3019411458752,13985.476022539424,291.3640838029047,227.29586395129834
Asia,2021-10-25,4678110154,183.29340738826883,259.2476244958456,245.17641231518868,202.96556417790683,154.92185601693168,102.94137148498683,90.10593530712998,669.2238126207247,13.384476252414496,24.778778427769932
Oceania,2021-10-25,43430556,-33.080166115125465,-1.5718562995115064,-6.100075605501614,-16.53816483231951,-33.080166115125465,-38.558449363058415,-40.422407085621174,-614.5762140329866,-26.720704957955945,8.309257350209071
European Union,2021-10-25,447045744,215.84617468673216,215.84617468673216,215.84617468673216,215.84617468673216,215.84617468673216,215.84617468673216,215.84617468673216,5827.846716541768,215.84617468673216,177.19007326761027
North America,2021-10-25,370982987,249.759368909618,249.83923429140975,249.82820486048965,249.7750783334771,249.72827254638761,249.70245182977987,249.69437935976129,499.28757353869696,249.64378676934848,206.20945051585343
Latin America and Caribbean,2021-11-01,658737988,327.5953235968782,334.9270550908445,334.7646917932191,330.46308490428504,323.6188334048548,319.9079661152718,319.52729611609374,14029.981228817249,292.29127560035937,228.15432347587642
Asia,2021-11-01,4678110154,185.61046367523207,263.47261537337226,247.62389807513418,206.30438736920297,156.53330421263666,104.4820486171816,91.62556442263434,677.9439491401822,13.558878982803645,25.028943678581594
Oceania,2021-11-01,43430556,-32.75714211730264,-1.0099734203812682,-5.678494967863838,-15.98207936974402,-32.75714211730264,-38.2487097813245,-40.187390236520336,-613.94633388722,-26.693318864661737,8.643119067291394
European Union,2021-11-01,447045744,220.56046817030537,220.56046817030537,220.56046817030537,220.56046817030537,220.56046817030537,220.56046817030537,220.56046817030537,5955.1326405982445,220.56046817030537,179.002416435785
North America,2021-11-01,370982987,252.83144102780122,252.97167028652652,252.9676509917971,252.86009332001623,252.76660490836633,252.71133549628894,252.7052368116574,505.27313560684473,252.63656780342237,208.71845991147836
Latin America and Caribbean,2021-11-08,658737988,328.85102797711755,336.2569821277319,336.14588172431564,331.7396696505243,324.86786333472844,321.15028515768967,320.7279185126458,14074.737824878292,293.22370468496445,228.8775251261204
Asia,2021-11-08,4678110154,187.66010994299634,267.54429587048804,249.96428026224442,208.71447918404246,157.94555274424462,105.92439064813186,92.99710521036093,685.9077759782666,13.718155519565332,25.243346924119194
Oceania,2021-11-08,43430556,-32.74924651495105,-0.8113891620027376,-5.4995816442425305,-15.765075707620161,-32.74924651495105,-38.26976569585089,-40.27894820375167,-620.8894629380198,-26.995194040783467,8.942456704138595
European Union,2021-11-08,447045744,225.56171662822229,225.56171662822229,225.56171662822229,225.56171662822229,225.56171662822229,225.56171662822229,225.56171662822229,6090.166348962002,225.56171662822229,181.10779471671546
North America,2021-11-08,370982987,256.0363595098711,256.2536014105647,256.22670367098715,256.0872818866042,255.96207163585,255.86530712391257,255.84025502294085,511.5401121971092,255.7700560985546,211.05333679358185
