region,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
Eastern Asia,2021-02-15,1658782555,-792.3269674642112,1335.3545494740497,1033.4277863917337,188.17741373387963,-792.3269674642112,-1446.5104624782302,-1588.0663751593613,-805.4327795869436,-115.06182565527766,84.429
Polynesia,2021-02-15,633057,0.21990693183371182,0.7833634273094642,0.6701690955845052,0.4394481689690049,0.18654259800608508,0.045975116992524774,-0.0024108775506346374,3.305682769214121,0.36729808546823567,0
Northern Europe,2021-02-15,106727166,386.5093220055711,387.5902797328725,387.3739036084855,386.9718009781537,386.47652137785224,386.19059006957855,386.04567785188493,5413.63853387402,386.68846670528717,796
Northern Africa,2021-02-15,250635265,533.6633440936064,688.8239366007715,661.4420786900747,580.1001840055393,464.98795075509946,385.86876735240156,366.0454160309859,1591.0369786044726,227.29099694349608,124
Melanesia,2021-02-15,11328580,-5.936788992828039,18.20177294186121,13.803447609854054,5.589655917837596,-5.936788992828039,-8.844407326187197,-10.170133442101733,0,0,0
Micronesia,2021-02-15,554402,-0.08387116881584909,0.746357125913629,0.6400836427371678,0.2632590186261167,-0.2310206047077496,-0.5714346820899384,-0.7315037167231366,0,0,0
Central Asia,2021-02-15,75250695,90.51767433420498,108.44362587489492,103.91458807801494,98.42315038883498,90.51767433420498,86.60471631827498,83.23119489919496,478.1022294625748,95.62044589251497,10.428
Other,2021-02-15,25637123,3.192990521508546,3.192990521508546,3.192990521508546,3.192990521508546,3.192990521508546,3.192990521508546,3.192990521508546,6.385981043017092,3.192990521508546,2.714
Latin America and the Caribbean,2021-02-22,658613257,4034.7298997689563,4131.332269485031,4110.7807531606495,4053.16309609154,3962.033570047599,3902.881359195295,3888.408980411238,163484.29591057965,3632.9843535684363,3176.431
Southern Asia,2021-02-22,1962272390,3977.591987234665,5873.101755947435,5802.084812452317,4621.175802311575,3038.2424488004867,1407.7785069360161,395.4196306503869,330.6931119586234,36.74367910651371,235.857
Sub-Saharan Africa,2021-02-22,1121670004,2629.090229602833,3929.389964761227,3563.7946557631913,2629.090229602833,1463.469525453542,641.8726580427963,363.1379775620229,11974.62192045794,244.38003919301917,280
Southern Europe,2021-02-22,150192351,279.9710675032598,280.60373799880574,280.5024656160379,280.19654083474524,279.8893492810351,279.6355685197455,279.5756138415912,4466.413750973386,279.15085943583665,823.2879999999999
Western Asia,2021-02-22,284170120,673.7639785379381,964.1589415421819,897.6355869252194,730.5434721405852,501.8605627050317,370.1325165505133,341.09633628484625,1212.628641804939,67.36825787805216,248
Australia and New Zealand,2021-02-22,30914517,1.2137372926805856,1.2137372926805856,1.2137372926805856,1.2137372926805856,1.2137372926805856,1.2137372926805856,1.2137372926805856,2.4274745853611712,1.2137372926805856,0
Western Europe,2021-02-22,198599053,-401.12769091517544,-401.12769091517544,-401.12769091517544,-401.12769091517544,-401.12769091517544,-401.12769091517544,-401.12769091517544,-3610.149218236579,-401.12769091517544,874.429
Eastern Europe,2021-02-22,292475148,2000.6519991113778,2000.6519991113778,2000.6519991113778,2000.6519991113778,2000.6519991113778,2000.6519991113778,2000.6519991113778,20006.51999111378,2000.6519991113778,1206.001
Northern America,2021-02-22,371107718,945.5740022320864,945.8323043136991,945.7808438888122,945.6981436544585,945.5740022320864,945.5329418495736,945.5034506634696,4728.535940234343,945.7071880468686,1972.143
South-eastern Asia,2021-02-22,674675391,1072.8039345245732,1731.3726789737748,1660.182039204925,1274.8192537220398,729.5513034569293,411.1010580755724,385.2239797127503,1007.737250320348,91.61247730184982,286.287
Eastern Asia,2021-02-22,1658782555,-605.4376780088694,1539.4643690521063,1067.714856825541,159.8606170299006,-605.4376780088694,-1526.3353049270645,-1696.2539762101117,-974.2661129202768,-139.18087327432525,78.428
Polynesia,2021-02-22,633057,0.2221189670776266,0.7751177187233965,0.6885511082922553,0.4496454473478844,0.1899225501830051,0.048094777865934996,-0.005558669648584554,3.305682769214121,0.36729808546823567,0.429
Northern Europe,2021-02-22,106727166,165.3651396039648,166.55408283276356,166.31289106549522,165.8643039156672,165.2979270567951,164.9956702797023,164.72299086406397,2318.638533874015,165.61703813385822,580
Northern Africa,2021-02-22,250635265,505.29056898720734,664.031598282122,639.9378825253445,562.7518064221331,445.63744145422504,364.677537684061,346.52216403519543,1591.0369786044726,227.29099694349608,109.42699999999999
Melanesia,2021-02-22,11328580,-5.950178224699732,18.77355386268578,13.845650764858522,5.8520056848010356,-5.950178224699732,-8.958723717119247,-10.071289496971797,0,0,0.143
Micronesia,2021-02-22,554402,-0.08659665524634412,0.7247419845199784,0.6534400051389885,0.26324822953254184,-0.21362301153380064,-0.5997000064843884,-0.7054717185717906,0,0,0
Central Asia,2021-02-22,75250695,92.77412242201497,106.526501074595,102.91862485813499,98.31444500461498,91.49844169125497,86.00708926977495,82.85436894607496,478.1022294625748,95.62044589251497,11.572
