region,date,population,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_90_top_per_100k,estimated_daily_excess_deaths_ci_50_top_per_100k,estimated_daily_excess_deaths_ci_50_bot_per_100k,estimated_daily_excess_deaths_ci_90_bot_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths_raw_estimate_per_100k,daily_excess_deaths_per_100k,daily_covid_deaths_per_100k
WPRO,2021-10-11,1927284137,0.16706173758263268,0.29894601535180243,0.27451646434449367,0.2182666068291935,0.1601291617858951,0.12360257486727294,0.11656036527010342,1.7365956712793347,0.06431835819553092,0.022333344198536307
SEARO,2021-10-11,2044764457,0.3613476622393494,0.6990759778915306,0.6712988237797505,0.4353768490765171,0.22060278675201145,0.14360973838319396,0.1284020229393042,0.039158897186486165,0.003915889718648616,0.024250176997281405
Other,2021-10-18,44924020,0.04312644440184738,0.08431225141108369,0.08363333022430641,0.06420846096289765,0.03320629707557511,0.015331713068270553,0.008993884615761465,-0.9162579192246619,-0.025451608867351726,0.04616164507688018
EMRO,2021-10-18,774669408,0.3577200520697977,0.519159858951812,0.4933667559652258,0.41034471134012407,0.3036435740726899,0.28795085108010887,0.28115759557753006,3.0776052911996543,0.14655263291426926,0.04857362329196301
AFRO,2021-10-18,1191645942,0.13253116252966823,0.24680085776345,0.22655338629940688,0.16884670176464042,0.1100813936034101,0.06067200997451669,0.05827815324697412,0.5453449176151877,0.011603083353514633,0.01068152842331418
EURO,2021-10-18,933468778,1.0105829805906517,1.0418803114552082,1.0384195618442509,1.0188505418709584,0.9912375221243599,0.9782269892191506,0.9752925068577635,47.399983679791134,0.8943393147130402,0.29785109749005445
AMRO,2021-10-18,1032012460,0.2901358770067895,0.29905561949867104,0.29815829047052733,0.2939499345270654,0.2869562151270955,0.28247897966483887,0.28159895520448047,9.323803890960415,0.2663943968845833,0.2681864906941143
WPRO,2021-10-18,1927284137,0.16682422503386246,0.280504307187182,0.26869134453557325,0.21484886192527447,0.15917143437501516,0.12795808668849237,0.11798230910467905,1.7813455411246626,0.06597576078239491,0.022526154377827477
SEARO,2021-10-18,2044764457,0.3569921475178324,0.7806346580866496,0.6524320032846147,0.43507786771834933,0.2209800352812544,0.12547125650295676,0.12063018363494898,0.039158897186486165,0.003915889718648616,0.02005820272334673
Other,2021-10-25,44924020,0.033696186290457335,0.08305211966003362,0.07575475060061221,0.054419683397670775,0.02570748737957521,0.013134031767080851,0.007793647397550661,-0.9162579192246619,-0.025451608867351726,0.02512464378744378
EMRO,2021-10-25,774669408,0.3393633373389533,0.4809973488155612,0.45902269280326685,0.3691979149950878,0.2794581434623989,0.2542793329183759,0.25255615536445813,2.8465183292629828,0.13554849186966583,0.04317041521794546
AFRO,2021-10-25,1191645942,0.1162007631931396,0.23225726144278624,0.22184780584845398,0.1561024485780536,0.09087828035211024,0.04628813872635558,0.034582106347569475,0.3008091962826177,0.00640019566558761,0.009674685738156946
EURO,2021-10-25,933468778,1.0485556529634574,1.0794030348476678,1.0764356101419281,1.0566771366426255,1.0281783022764412,1.0151475475217189,1.011116715142955,49.36464652850553,0.931408425066142,0.3430063303092072
AMRO,2021-10-25,1032012460,0.26961233195369005,0.2816324555630208,0.2797556204995847,0.27283546414992615,0.2677642851276221,0.2630180417853247,0.26223429412800403,8.681119467040435,0.2480319847725839,0.24746387267456058
WPRO,2021-10-25,1927284137,0.16146236669319128,0.27181892544355873,0.2678490939391383,0.21437982444652198,0.15353584168361697,0.10819703925641674,0.09759118634702453,1.8244943422814275,0.06757386452894175,0.020443275199333
SEARO,2021-10-25,2044764457,0.37675880079715707,0.8733178961797082,0.669117558747049,0.480792243416875,0.23743283796395526,0.15682715401060934,0.1285563553979433,0.039158897186486165,0.003915889718648616,0.026129464358153207
