region,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
Northern America,2020-02-10,376870770,-0.9680645214173871,-0.9679331729401917,-0.9679554883053466,-0.9680193465747758,-0.9680768478566761,-0.96810381299026,-0.9681115062081802,-4.839793088031727,-0.9679586176063456,0
South-eastern Asia,2020-02-10,680786410,0.4555295608530946,3.5994418053433486,2.87633455582007,1.332997034305583,-0.33869022678283045,-0.7645080070220548,-0.8962186638150569,-2.879745225167578,-0.2617950204697798,1.468889486204638e-4
Eastern Asia,2020-02-10,1613237280,-2.4737920400753644,-2.4737920400753644,-2.4737920400753644,-2.4737920400753644,-2.4737920400753644,-2.4737920400753644,-2.4737920400753644,-14.842752240452189,-2.4737920400753644,0.05609838126230259
Northern Europe,2020-02-10,106550176,-2.877038252480139,-2.866834594159803,-2.8692365636185886,-2.8769603404143003,-2.8873107322183302,-2.8934917145211543,-2.8951013044881986,-40.14052044135552,-2.8671800315253937,0.0018770499262244296
Northern Africa,2020-02-10,259969965,0.06586378985247933,0.27903922528114394,0.21063179452416964,0.06586378985247933,-0.20627041725108525,-0.3744194214333489,-0.42878246510762114,-1.0707005233264613,-0.15295721761806588,0
Melanesia,2020-02-10,12413369,2.8754166353658275,8.35703666537377,6.538705573081992,2.907565639786045,-0.7079328530899772,-2.6861232414945966,-3.134523125367234,0,0,0
Micronesia,2020-02-10,539140,1.3828653626208571,7.621984409540372,6.906867777829483,2.837943776153618,-0.3858172321968024,-2.2537338663140383,-3.697584307513572,0,0,0
Central Asia,2020-02-10,76551056,0.4295113250075947,0.7333233917396254,0.700471346468506,0.5951484443333857,0.4295113250075947,0.40740131432392024,0.3868622272541877,2.5171856188932225,0.5034371237786445,0
Other,2020-02-10,25675511,1.0476801293535016,1.0476801293535016,1.0476801293535016,1.0476801293535016,1.0476801293535016,1.0476801293535016,1.0476801293535016,2.0953602587070033,1.0476801293535016,0
Latin America and the Caribbean,2020-02-17,660258572,-0.28504052008058506,-0.1383378721238643,-0.1996173944262632,-0.28013410784878545,-0.36933640334868756,-0.41587037458065346,-0.4292614964211164,-16.246972695319126,-0.3315708713330434,0
