world,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
World,2021-05-31,7868684247,135.43920003891097,163.9946612661315,155.02162541098255,141.18718583192853,121.50766851067313,101.37795501231477,93.73700951840128,12721.723389088816,56.79340798700364,46.53301522927407
World,2021-06-07,7868684247,139.51711575403155,171.20194394932886,161.0126068875133,146.23949099387596,124.97809710820042,103.71461915906794,96.25118610972639,12889.517278086949,57.542487848602455,47.4027671706624
World,2021-06-14,7868684247,142.89560434269615,174.70784379325167,165.62903851021113,150.03674738970656,127.87287911076046,106.04689973644909,98.51707060723574,13062.60955328172,58.315221220007686,48.26963430954913
World,2021-06-21,7868684247,145.82407790279163,177.83086699676434,170.548739352737,153.07596316318288,130.57996337037454,108.23295182946372,100.65530661089689,13233.002247618724,59.075902891155025,49.04765606106802
World,2021-06-28,7868684247,148.75844909932655,180.89790500104047,173.97656520331282,156.42217388480813,133.3746205620468,110.30128183758393,102.87053679983045,13408.60510806649,59.859844232439684,49.76442192979001
World,2021-07-05,7868684247,151.7025055376422,184.36630884382947,177.33430570580217,160.06025597790384,136.5834759001191,112.5340521739873,105.12310172253106,13591.776191427512,60.67757228315854,50.46530190246176
World,2021-07-12,7868684247,154.84169566470223,187.4268154903425,180.78110434523242,163.14996604992447,139.72671778423495,114.9016533079782,107.57261909937199,13792.809303846348,61.57504153502834,51.184507327709014
World,2021-07-19,7868684247,157.98662406714823,190.81509835331667,184.64217933123763,166.4858707796005,143.3415337093575,117.40185943219207,110.0011247724445,13998.861367688361,62.494916820037325,51.89066148583507
World,2021-07-26,7868684247,161.32782606798884,194.65150646245652,188.738504134393,169.93754465152426,146.62080011319097,120.10690064623807,112.49180224967267,14219.93992070634,63.481874646010446,52.68034930465548
World,2021-08-02,7868684247,164.88573149781402,198.69151983910328,193.23560402802048,173.75591418870178,149.73523043890393,123.09521359763845,115.15463256007637,14472.490171997704,64.60933112498975,53.494386073565366
World,2021-08-09,7868684247,168.446707451739,203.21811448968603,197.86529827228713,177.70092133710824,153.31696158380484,126.15755496599986,118.12546241277846,14742.00243097384,65.81251085256179,54.34830291519765
World,2021-08-16,7868684247,172.0187834009298,208.26954582897906,202.36350293438628,181.67128523119294,156.85146263229984,129.2861493423551,121.25448606200247,15031.533798319551,67.10506159964086,55.22457466325119
World,2021-08-23,7868684247,175.77021864566132,213.34892070741793,206.67581432707928,185.9501010162968,160.3572830582289,132.17225446178458,124.38997245380564,15331.815889082874,68.44560664769142,56.11439398757718
World,2021-08-30,7868684247,179.21572113226497,218.04187801434455,210.67182512489683,189.76169760126194,163.59169527239507,134.80848485210274,127.32456744997391,15626.397711636328,69.76070406980503,56.98911426913177
World,2021-09-06,7868684247,182.69082235272688,222.5934095774232,214.66089296797546,193.44434434672286,166.99283825970105,137.4391182539286,130.3053513584878,15935.036367058252,71.13855521008149,57.82324386360651
World,2021-09-13,7868684247,185.99333863518368,226.56317254555512,218.21695060168938,196.71798527644086,169.97536868677312,139.93270408455004,133.1020271298647,16222.944469457645,72.4238592386502,58.62827056199196
World,2021-09-20,7868684247,189.16015278060854,229.82202737939377,221.56040959847434,199.75809508993805,172.77961169236184,142.24510098093083,135.7724247317846,16492.191884110398,73.62585662549284,59.39717958287518
World,2021-09-27,7868684247,192.14493402890506,233.1175498526111,224.6463904861001,202.61860386776075,175.8268042409385,144.50573575163955,138.2324079990674,16741.91544328842,74.74069394325188,60.11252199887643
World,2021-10-04,7868684247,194.91875539877876,235.8023630424368,227.6358530436306,205.2444482189435,178.45735976287594,146.58856510301993,140.71149446542876,16970.11675176847,75.75944978468065,60.792559478082715
World,2021-10-11,7868684247,197.66613352571747,238.55889008708013,230.66242473312045,208.2930601574777,181.11277714900223,148.75068353128262,143.1976382420613,17207.315843284236,76.81837430037605,61.40717346540135
World,2021-10-18,7868684247,200.42316409907158,241.1059426116526,233.46196455266642,211.13894710520088,183.65476999294685,150.82438784718875,145.58412859161956,17443.797037564662,77.87409391769938,62.01975417758812
World,2021-10-25,7868684247,203.2033525797351,244.1540307099868,236.28840663386413,214.2698932385548,186.15053663700385,153.04036201411608,147.89224711971985,17678.463680277746,78.92171285838279,62.65290987981361
World,2021-11-01,7868684247,206.02299633913296,246.8762033094504,239.21589186789902,217.5941581475212,188.77143043812924,155.39473399841353,150.155596556422,17922.48177317436,80.01107934452838,63.29494879526839
World,2021-11-08,7868684247,208.7038482872526,249.5429049288964,241.8462366023395,221.01315161943157,191.04422190088397,157.6512772040558,152.3705650855778,18170.562430916194,81.11858228087586,63.92652918965195
World,2021-11-15,7868684247,211.2378104236439,252.1651568187075,244.35338221070035,223.88923887464358,193.2316224321425,159.79523239584077,154.67765772497614,18415.648312327754,82.2127156800346,64.57488374803255
World,2021-11-22,7868684247,213.843997310073,254.77916877593236,246.9027095639682,226.6561150679331,195.43017015429916,161.93635777636464,156.6505270032007,18664.144544842195,83.32207386090265,65.2252466726792
World,2021-11-29,7868684247,216.46276195090783,258.1345624373845,249.60136311669802,229.45288934960288,197.76221062357243,164.1022868981423,158.66218420999328,18921.996543302877,84.47319885403071,65.85915257656673
World,2021-12-06,7868684247,218.83483062470893,260.677649900073,252.29709433208046,231.80667911542923,199.78889243421486,165.9410178195343,160.36183385946097,19109.484640290626,85.31019928701173,66.56755582735482
World,2021-12-13,7868684247,221.03041717542249,262.8764869234652,255.33166156100046,234.1852212927068,201.59653091686368,167.66229241003688,161.86299488674396,19284.403894394924,86.09108881426307,67.20834929951917
