world,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
World,2020-06-15,7882631890,16889.348037608062,22808.9248744443,21414.541135619125,18514.227327999368,13793.720878858025,10393.175668348054,9242.057758754641,1622344.8159344005,7084.475178752841,4657.431
World,2020-06-22,7882631890,20268.939440414262,23848.01805721409,22645.605690326505,20342.82536288031,16326.576929115112,12895.880540985985,12166.211988807301,1830528.3969974676,7993.573786015142,5160.717
World,2020-06-29,7882631890,20856.32506325066,25418.372796699587,25065.538605285285,21949.185546775352,17773.331712698124,14178.260500412083,13734.861483471266,1844738.06509271,8055.624738396114,4816.859
World,2020-07-06,7882631890,23088.842602225846,26108.002914310237,25884.31838020664,23088.842602225846,19031.582452281236,15881.677208181878,15586.241445010453,2202715.9938484654,9618.847134709456,4893.688
World,2020-07-13,7882631890,23824.193528764055,26573.659234511786,26164.134894319344,23824.193528764055,19403.909764464945,17255.41621498362,16748.59464149448,2334304.6281341864,10193.469991852342,5350.85
World,2020-07-20,7882631890,25148.23211997221,27220.230863598765,26717.78168147099,25148.23211997221,20505.409321949104,18292.133422345647,17527.61652010123,2377950.2833722755,10384.062372804696,5633.033
World,2020-07-27,7882631890,24731.803064047013,27609.9934470398,27096.654414784614,24731.803064047013,21078.445514771498,18308.409220324662,17661.159666932857,2547274.7371818013,11123.4704680428,6095.046333333334
World,2020-08-03,7882631890,21506.153584661086,24693.529265534195,24185.51021554387,22169.96400259017,18969.230194884887,15785.67831644844,14943.02512388156,2110788.034893018,9217.41499953283,6068.58
World,2020-08-10,7882631890,22978.424562148666,25937.671587998044,25913.339490413582,22997.202231618783,19788.577819815117,16166.212680510656,15980.843833252691,2248767.841083492,9819.946904294726,6396.6050000000005
World,2020-08-17,7882631890,21593.60839379854,26458.025894681658,25878.930606943522,22767.98544147053,19171.928848137777,15831.691450873806,14534.41566638122,2006601.867750163,8762.45357096141,6060.43
World,2020-08-24,7882631890,22019.13962536385,25425.50568054869,24873.10974759871,22301.34335799857,18502.030585592056,14421.84805078754,13510.94558455012,1740952.489654919,7602.412618580432,5866.147
World,2020-08-31,7882631890,19665.421303717732,23906.94420761642,23400.332920414636,20942.292318850836,17405.635907118634,12635.265945304716,12133.359882855342,1546031.2882263486,6751.228332866151,5680.719
World,2020-09-07,7882631890,21405.27937300387,25802.97330843559,24861.137583914704,22272.10817925884,18653.25187076071,13483.022340645479,12688.952920473448,1545272.1812800628,6747.913455371453,5701.149
World,2020-09-14,7882631890,21475.64258989686,26166.301842595498,25148.99731811353,22672.01216388722,19087.451671380964,13973.648669963051,12743.806801595278,1499273.4965181614,6547.045836323849,5293.216
World,2020-09-21,7882631890,20178.660419860353,24508.93327011297,23576.87731507288,21561.493964035635,17800.199503678235,12955.941607617407,11637.599928859248,1442551.4126361753,6299.351146882861,5375.149
World,2020-09-28,7882631890,19079.83484162561,21450.16888442393,21165.299376421422,19209.91755202999,15964.622244344604,11733.875655653601,10657.880171447641,1403883.8902552195,6130.497337359037,5402.428
World,2020-10-05,7882631890,19796.03915199831,23014.47010737595,22675.92348861972,20288.426079142606,17271.056118358923,13509.096999484693,13222.898455705485,1839618.6582045301,8033.269249801442,5798.312666666667
World,2020-10-12,7882631890,20749.85919735267,23279.805845414543,22865.924408819676,20749.85919735267,17840.24996674624,14497.987539420652,13131.163539346622,1962902.1167759595,8571.62496408716,5371.008
World,2020-10-19,7882631890,20698.817343701907,23897.722369918563,23802.92789048221,21464.711653383827,18546.849810616513,15228.161465718764,14004.97049352963,2374145.6601092923,10367.448297420491,5497.289
World,2020-10-26,7882631890,22127.69363983499,25587.49537665905,25386.00437599957,22654.895997160955,20062.623798721455,16550.095929161766,15896.154021806839,2698395.2658235785,11783.385440277636,6105.435
World,2020-11-02,7882631890,27286.339920288177,30619.313695418903,30416.628213619093,28012.820400080014,24540.407764829695,21238.48730885201,20845.176904709657,3578329.792350459,15625.894289739996,6848.006
World,2020-11-09,7882631890,28387.105193044725,32004.95735214279,31453.634287069683,28965.125088519053,25667.551668064305,22270.107536561954,21803.0849483106,3732818.426636174,16300.517146882856,8459.009
World,2020-11-16,7882631890,28474.238298305056,32724.837314770444,31319.23124429356,28801.14914664958,25312.289024930928,22443.512471474052,21785.920759372028,3781384.637588555,16512.59667069238,9138.005
World,2020-11-23,7882631890,28327.312866417975,32632.988614003923,31436.22337655175,29216.370471103095,25500.874162812648,21984.973275287113,21807.20516826747,3733679.3575885547,16304.27667069238,10147.289
World,2020-11-30,7882631890,27953.48267345281,33671.94834801213,31517.19741838649,29315.553259909306,25674.005380584866,22479.066275441346,22163.73779022579,3804593.0242552184,16613.943337359033,10458.294
World,2020-12-07,7882631890,28915.95977236141,33878.94541572365,31979.748306457645,29753.034929910962,26464.21153753928,23432.164674592448,22175.167942999113,4022998.3899096013,17567.67855855721,11080
World,2020-12-14,7882631890,28027.08240220571,33053.13609404294,31389.570390464167,28836.707443977943,25856.631051223765,22435.897534595144,21601.440411834235,3936356.676100077,17189.330463319115,11211.717
World,2020-12-21,7882631890,27625.029459156638,33471.7474888431,31140.66160762559,28872.773279517238,26185.77413158789,22586.73577580355,21811.44774897944,4082212.0530110104,17826.2535065983,11782.396999999999
World,2020-12-28,7882631890,28585.142948013843,33392.48369864538,32395.28610220279,29695.471442295315,27267.78690303073,23646.74878011568,23120.876327713333,4398363.966200051,19206.829546725112,10644.882666666666
World,2021-01-04,7882631890,26349.66021250031,29913.986607255032,29014.16381522039,27143.94863819297,25047.76706996948,19513.303327264643,18863.528407383557,3964611.2758078305,17312.71299479402,11540.359
World,2021-01-11,7882631890,28119.441672011748,31147.729891267503,30634.6828230353,28403.021095659187,25386.33977724011,20768.42945001866,20109.49611285156,4201623.004378738,18347.698709077456,13385.394
World,2021-01-18,7882631890,27204.27686784455,30606.76186957624,30406.53744555184,28266.128755185975,25438.9220938485,20590.16292933877,20357.072824020204,4275576.373426359,18670.639185267944,14171.394
World,2021-01-25,7882631890,24380.478343986193,28609.583453504143,27928.522934640616,25707.725611405418,22728.923117448034,18138.74283179925,16880.260250093987,3560355.667473978,15547.404661458419,14614.294
