world,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
World,2020-11-30,7951213330,3815391.9142946056,5341975.2110917615,4963918.858391226,4425303.544240555,3729850.845790668,3159123.6297173146,2978863.5316752447,538422926.9327941,2281453.0802237038,1581921.6676666667
World,2020-12-07,7951213330,3998279.996256119,5558740.264373107,5177940.976842979,4609685.558496713,3915056.6679989425,3323679.5436043898,3150709.1959897536,568607279.7245201,2409352.8801886444,1661150.6986666666
World,2020-12-14,7951213330,4177822.274397387,5764899.804157128,5387954.481980189,4814736.320908928,4094897.5600002375,3491377.813038469,3318638.206141114,598163533.4629128,2534591.2434869185,1742947.7006666667
World,2020-12-21,7951213330,4359635.271810501,5974850.666706667,5600302.328733925,5013265.088571818,4277721.408461762,3658933.3293939657,3487416.551578097,628779347.2688026,2664319.268088147,1828295.7116666667
World,2020-12-28,7951213330,4573063.928412225,6225170.959647156,5833717.388573148,5247440.24923175,4483247.4345037965,3863518.0387945846,3683144.2580431732,661665704.6064652,2803668.239857903,1907914.7196666666
World,2021-01-04,7951213330,4755736.686591312,6434106.761143318,6039161.0764780855,5429668.5878819795,4667163.12116067,4051648.2038485087,3832492.654222614,691090622.1646848,2928350.093918156,1994547.7626666666
World,2021-01-11,7951213330,4945518.65518791,6648550.5438836785,6243700.472216856,5641757.760807497,4843976.559582222,4228260.070097278,3989861.981568566,722227735.456234,3060287.014645059,2088693.7866666666
World,2021-01-18,7951213330,5131406.996090594,6861850.332179091,6440698.358231568,5841015.359139653,5029236.050112641,4422897.726965061,4143206.9929967294,753918264.8144498,3194568.9187052953,2189262.8426666665
World,2021-01-25,7951213330,5293423.861832068,7053571.264940993,6623629.742717509,6026613.846242513,5201081.626531236,4574966.871402639,4273577.599019166,780491848.0726656,3307168.847765532,2291793.8516666666
World,2021-02-01,7951213330,5429303.468403622,7217596.221866748,6785400.64018704,6166163.132210853,5347164.108501497,4701832.646289633,4391266.983201464,800993304.9421887,3394039.4277211386,2391507.8506666664
