iso3c,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
SLE,2021-03-29,7976985,4629.686505038531,14329.738147571421,13711.262555121522,5646.67884547814,-402.97926928724416,-5838.93466656112,-8929.78899617503,4629.686505038531,0,79.01599999999999
SLE,2021-04-05,7976985,4711.936311315082,14690.195478318688,14044.693936185726,5808.170262791043,-379.289928635546,-5928.923704378218,-9060.340504230915,4711.936311315082,0,79.01599999999999
SLE,2021-04-12,7976985,4792.111143736438,15050.029796275567,14381.791334433981,5919.698912540399,-342.1415986734164,-6020.3627450787635,-9187.397766215254,4792.111143736438,0,79.01599999999999
SLE,2021-04-19,7976985,4908.718987223424,15382.001701115267,14706.70317809213,6029.77912070366,-320.3691977721196,-6115.192090451267,-9313.104410580401,4908.718987223424,0,79.01599999999999
SLE,2021-04-26,7976985,4990.893522210235,15714.593024264512,15034.466796112149,6102.0085071737385,-294.8837701392953,-6247.476488974744,-9439.838725800058,4990.893522210235,0,79.01599999999999
SLE,2021-05-03,7976985,5072.9580724249445,16099.28941825585,15359.208509960725,6239.379129555949,-307.59590266278167,-6331.3737606400655,-9586.90091108897,5072.9580724249445,0,79.01599999999999
SLE,2021-05-10,7976985,5155.554887020225,16457.95744291845,15534.171619936089,6332.666401840077,-325.9767372642665,-6454.6861969608335,-9745.039064014965,5155.554887020225,0,79.01599999999999
SLV,2020-01-01,6486201,-19.015380206614438,228.3221858189752,126.12294066549195,3.2625134793647317,-46.1710238846358,-68.78030752843725,-77.17984125115481,-19.015380206614438,0,0
SLV,2020-01-06,6486201,-53.84057656157219,365.09778719833946,246.24478734766308,-0.8922189396313911,-91.98203792269666,-143.19997425702132,-166.68209056980675,-53.84057656157219,0,0
SLV,2020-01-13,6486201,-88.69147095017067,588.8742802632837,369.93181397339373,7.061822696932014,-140.08219534556457,-212.47486704343925,-248.00574823821742,-88.69147095017067,0,0
SLV,2020-01-20,6486201,-122.50667448013752,812.915750756458,495.208905308374,3.743935231664766,-184.49802796657966,-287.0790549641761,-328.1381268368549,-122.50667448013752,0,0
