continent,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
Americas,2021-07-19,1030271939,4323.26287415353,4473.656187279162,4450.842278596191,4346.301141850879,4240.558696095568,4168.202264774826,4154.301431948456,181877.07323232104,3637.5414646464205,3066.859
Asia,2021-07-19,4667759697,20568.19029502278,32381.62716195395,30320.500103035567,24529.86015918474,17504.510758477045,14078.386938395104,12390.1842027284,100576.73178838666,2011.5346357677333,3009
Africa,2021-07-19,1392394303,4629.22246419159,6401.84071690505,6303.2037315889065,5462.700788380935,4000.3743915141467,3085.352919958213,2881.770388869797,90392.24114144246,1614.147163240044,888.43
Europe,2021-07-19,747759214,3306.282185533485,3312.657194134791,3310.9453567473115,3306.282185533485,3276.3968001457242,3251.714511907002,3250.9409377440766,161294.25836325754,3225.885167265151,963.2869999999999
Oceania,2021-07-19,44446737,45.6956127551055,63.853733242885596,61.63949151048325,45.6956127551055,24.736196476050047,16.478631610088915,16.23291766534035,112.05752136878331,4.87206614646884,9.429
Americas,2021-07-26,1030271939,4800.203511837362,4993.501488972969,4930.930338909098,4867.175013071579,4764.18715312532,4712.298625445842,4682.0382618627245,209853.97799422548,4197.07955988451,2890.429
Asia,2021-07-26,4667759697,22237.01664388322,34740.47995100648,31571.349893341034,25828.536681116602,19276.364223252276,14732.186733434726,14283.016889247678,116229.44607410091,2324.588921482018,4019.718
Africa,2021-07-26,1392394303,5349.835406819301,6692.8322671262185,6384.529566190536,5502.188222509449,4297.316872015416,3823.4501017911875,3761.6299401033257,82198.64114144247,1467.8328775257582,946.144
Europe,2021-07-26,747759214,3361.2154339902136,3367.7246844668825,3365.2854337088825,3361.2154339902136,3331.7149726369535,3304.0795088881137,3302.2097359332897,163806.4012203998,3276.128024407996,1008.859
Oceania,2021-07-26,44446737,44.406927438282835,63.220899340627625,59.460660604633425,44.406927438282835,26.345334347652408,17.795805245513215,16.67130055750885,186.31466422593672,8.100637575040727,13.714
Americas,2021-08-02,1030271939,5635.890537491812,5745.7735961994995,5692.713950739961,5635.890537491812,5529.984637619067,5466.6455445509655,5453.509219223375,249803.45188055403,4996.069037611081,2821.57
Asia,2021-08-02,4667759697,26181.480337436114,36009.57328600393,34141.0101559981,28840.83795379751,22873.5388741188,17557.190869401424,17387.06887950739,201313.4184243314,4026.268368486628,4285.571
Africa,2021-08-02,1392394303,4676.382271425974,6020.240231546012,5865.615230083036,5229.121146332517,4009.3587429478757,3436.860904888328,3397.041858373897,63468.06049628116,1133.3582231478779,945.7130000000001
Europe,2021-08-02,747759214,3263.942829733199,3282.6692102483107,3279.1816078854754,3268.2238864583937,3248.146551652101,3229.680021977896,3226.51116067459,160197.68693468525,3203.953738693705,1089.143
Oceania,2021-08-02,44446737,27.855966776399946,58.28070238051554,54.631294116563865,37.52910467707795,16.943247731242295,8.559882263345305,6.76882622316434,60.10083934114577,2.613079971354164,10
Americas,2021-08-09,1030271939,6252.2137630149955,6385.128965025812,6351.899781723119,6267.1226883760155,6184.17715485011,6128.098708067581,6116.385205075978,284994.04711864993,5699.880942372999,2857.1420000000003
Asia,2021-08-09,4667759697,25894.26167330574,35470.598539388186,34102.61734852232,28420.561540416995,22137.335549409087,17425.31119717187,16800.936851429044,199940.27556718857,3998.8055113437713,4667.573
Africa,2021-08-09,1392394303,4088.8948779440134,5687.637646676365,5582.7003893138635,4651.309851774311,3627.820401926971,3169.031138279508,3014.6944831390906,50157.66049628117,895.6725088621637,910.571
Europe,2021-08-09,747759214,3725.573350667758,3734.1682591770277,3732.878201446271,3725.573350667758,3689.320855337313,3666.5810052773663,3665.9619247786127,182006.54407754302,3640.1308815508605,1153.0503333333334
Oceania,2021-08-09,44446737,16.015524968377882,40.00765281539842,37.97107214147332,27.56694285580912,10.638572736804468,-1.1679049259257166,-4.7039181035809206,-127.1848749445737,-5.529777171503205,13.571
Americas,2021-08-16,1030271939,6914.499608564963,7031.136869904718,7013.331350309106,6963.362325530886,6862.68572206046,6810.012179999815,6804.532835544711,322061.78521388734,6441.235704277747,2892.858
Asia,2021-08-16,4667759697,25138.18874603673,33840.186232455926,33429.902637244166,27387.056121113426,22087.85073138565,17188.383761598518,16485.81679520855,215701.9898529028,4314.039797058056,4837.575
Africa,2021-08-16,1392394303,4100.543822231142,5638.800163158517,5424.8243818234805,4666.908887424917,3592.297950893627,3116.052268104581,3002.734018654328,53533.66049628117,955.958223147878,885.287
Europe,2021-08-16,747759214,3661.265394536414,3670.080615584951,3669.3843247661266,3661.265394536414,3630.5974936874663,3607.4838830299273,3601.185353160665,178699.40122039968,3573.9880244079936,1220.002
Oceania,2021-08-16,44446737,17.90236020549947,44.28992972000271,40.96908191312177,29.265229510791542,11.32685440383241,1.8584871647242385,0.42089392900512396,-47.01344637313766,-2.044062885788594,20.858
Americas,2021-08-23,1030271939,7165.940421855635,7292.133646339257,7243.25225938688,7189.082189775629,7104.101549516859,7048.688868430274,7045.635461376537,333252.26140436425,6665.045228087285,3272.3579999999997
Asia,2021-08-23,4667759697,25288.721004739706,33655.670893406306,32256.58070038742,27440.396221396717,20966.85672535822,17219.59144337118,16753.67052383263,243156.84699575973,4863.1369399151945,4548.43
Africa,2021-08-23,1392394303,4729.007680890777,6106.722882151848,6005.486724454767,5205.914027602162,3759.9045125178727,3185.1914363450633,3043.7004955717002,47967.26049628116,856.5582231478779,789.717
Europe,2021-08-23,747759214,3540.336927843589,3547.730197208775,3543.7524209098997,3540.336927843589,3501.9312424612,3480.2825293625133,3472.671815666379,172293.68693468618,3445.8737386937237,1374.289
Oceania,2021-08-23,44446737,-1.1233284195234998,21.21198102891257,17.296250855327223,7.821776779195065,-11.281640559932116,-20.25827080004422,-23.572001536184363,-518.1848749445817,-22.52977717150355,23.858
Americas,2021-08-30,1030271939,7144.4189435126855,7259.4162130623545,7244.058704682603,7195.662059811306,7102.629779158683,7062.323290223106,7055.1881529473885,336730.35664245876,6734.607132849175,3381.569
Asia,2021-08-30,4667759697,22913.29454351646,32744.29927472006,30062.29418551028,24723.59598937387,19415.104458335634,15271.790629292913,14349.536640431552,225703.27556718857,4514.0655113437715,4167.999
Africa,2021-08-30,1392394303,4414.389055718399,5702.010187770224,5354.420177713941,4901.794495106658,3538.8019741264493,2918.736084711923,2874.16576111184,46669.66049628116,833.3867945764493,791.57
Europe,2021-08-30,747759214,3568.6857137386796,3577.008746712487,3576.9687892326333,3568.6857137386796,3530.472785915366,3507.0862431060013,3499.0155404707216,173322.82979182815,3466.456595836563,1496.43
Oceania,2021-08-30,44446737,7.873284152631261,29.298871000119405,26.052174534929172,18.964859100232452,1.8918112041462325,-8.241040093035618,-10.918571581394213,-216.55630351599467,-9.41549145721716,25.572
Americas,2021-09-06,1030271939,6440.508311826345,6535.815355745977,6507.174905187389,6454.8203280234775,6359.714042055468,6306.977693433986,6302.447272696233,298799.34819391795,5975.986963878359,3394.715
Asia,2021-09-06,4667759697,22087.58159458048,31061.379997178476,29754.102390188367,23681.14348917377,17897.043943694793,14627.929916115389,14070.693895099725,222803.97910021455,4456.079582004291,3879.716
Africa,2021-09-06,1392394303,4254.192804627137,5679.224405349234,5354.567204185906,4732.056660549154,3328.292300139972,2918.9743925317402,2679.8639138571825,50606.35899090485,903.6849819804438,615.2860000000001
Europe,2021-09-06,747759214,4975.374178603797,4985.920670088235,4983.736024435378,4975.374178603797,4926.380159466332,4890.519538339292,4883.998101938534,242262.89353990837,4845.2578707981675,1544.285
Oceania,2021-09-06,44446737,-1.3293473834276626,20.36718420188251,17.28644867882832,10.008685406390738,-7.179181923070797,-15.54677603604481,-18.32308004302467,-387.8953511350492,-16.86501526674127,24.285
Americas,2021-09-13,1030271939,6057.6500475901885,6147.237866146695,6140.898842802141,6087.516255544157,5994.489326300191,5943.50853041211,5914.556436779336,282141.49105106114,5642.829821021222,3631.143
Asia,2021-09-13,4667759697,19646.82193390908,28776.101913919527,26081.58055433829,22268.70209917694,17205.90604880549,13279.218498825952,12618.354490331118,211341.69338592884,4226.833867718577,3325.0009999999997
Africa,2021-09-13,1392394303,3993.17037058502,5217.594149512026,5019.920425671214,4400.727502620862,3082.143670888195,2627.708871217735,2405.8885681968436,42649.55899090485,761.5992676947295,501.429
Europe,2021-09-13,747759214,4696.28483115853,4704.257616056627,4698.58449045694,4696.28483115853,4651.444066554667,4618.582185668832,4612.074621480413,228600.4649684792,4572.009299369584,1608.771
Oceania,2021-09-13,44446737,14.027871622738086,35.70213801625055,32.951893843385015,23.029769332851203,6.229972927308153,-4.600089657541753,-5.07424336625679,-150.00963684932964,-6.522158123883898,19.392
Americas,2021-09-20,1030271939,5522.863121563563,5630.969749491576,5619.8157793295595,5531.871703131259,5442.413972512417,5377.417187691001,5372.190147137073,255021.25295582315,5100.425059116463,3694.499
Asia,2021-09-20,4667759697,18752.625640651037,27125.780790052868,25721.901251201834,21087.733778461596,16007.968893282827,12755.89963936304,12362.394733703464,200199.2415225748,4003.9848304514962,2824.715
Africa,2021-09-20,1392394303,3930.93756891689,5192.969574305939,4998.033396367718,4216.913815956059,3055.866597528789,2457.7305471931045,2328.6925871905323,40459.15899090485,722.4849819804438,431.716
