continent,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
Oceania,2021-01-25,45038907,-16.110322486208872,1.5218701262228078,-0.8751081514492389,-7.730749306639088,-16.110322486208872,-21.28949437026158,-22.46672146932746,-278.52994782705207,-11.605414492793836,2.7022458604512765
Americas,2021-02-01,1037129342,159.27478610724603,160.36562151926822,160.087583549381,159.27478610724603,157.86274503062145,157.0374824652275,156.89269118871556,8393.706223856592,155.43900414549242,112.92185451124442
Asia,2021-02-01,4695793204,45.03073447933355,69.79740157951281,67.34620721612603,57.60493264251243,42.96927571513574,34.36354154853335,29.295048848012357,187.96029378050804,3.759205875610161,7.985664268191654
Africa,2021-02-01,1426736614,37.48358381041141,83.83309325882028,74.21875936438079,57.6814657608264,35.439129662931606,17.206247761324605,6.777480317694541,1187.0911506258458,20.467088803893894,6.388883771927928
Europe,2021-02-01,746515263,176.7495060066676,176.77451372860222,176.77086109975082,176.75557521875487,176.74082575968941,176.7303587409625,176.72841326356985,8836.463172116219,176.72926344232437,98.1410869023317
Oceania,2021-02-01,45038907,-15.782139072061025,2.2296683047811214,-0.21286013944152218,-7.244611746280538,-15.782139072061025,-21.00170800562702,-22.338852492478143,-269.7311583146703,-11.238798263111262,2.711135951856025
Americas,2021-02-08,1037129342,163.4380627851988,164.57784125048138,164.30532022484735,163.4380627851988,162.01465651460305,161.15481714784258,160.97514099565987,8611.770362296791,159.47722893142205,117.30520393151374
Asia,2021-02-08,4695793204,45.74481037367625,70.95461246432784,68.10585619638164,58.65696524749371,43.638931280994626,34.81425381400214,29.75530411108904,189.46455853252488,3.789291170650498,8.129325023828285
Africa,2021-02-08,1426736614,38.76792786345673,85.74961467044304,76.72504495738802,59.45036779527547,37.13394510207685,17.970386919837075,8.291932827022395,1204.3944519173554,20.76542158478199,6.678145080532713
Europe,2021-02-08,746515263,179.51463520282928,179.53978746648588,179.53602836415143,179.52125145502313,179.5057611846895,179.4956303669723,179.49301898939433,8974.66786017643,179.49335720352863,102.31260214702402
Oceania,2021-02-08,45038907,-15.730285147247427,2.6067523880646,0.16764978924358512,-7.008526746115905,-15.730285147247427,-21.032293276063353,-22.491615436269942,-267.664326129761,-11.152680255406707,2.7178035204095874
Americas,2021-02-15,1037129342,167.28439346688197,168.49312989424425,168.20885656008747,167.28439346688197,165.82748117283785,164.95634716607614,164.771640122858,8813.009853806889,163.20388618160902,121.59387210420536
Asia,2021-02-15,4695793204,46.50125962542124,71.90607473035564,69.03107994267474,59.37506320055939,44.233474174025915,35.10687895522317,30.247172721298842,192.2537144778323,3.845074289556646,8.260613151992628
Africa,2021-02-15,1426736614,40.07595472001429,87.91907334411793,78.96627241594254,61.603855757112086,38.40224461474232,18.756628753786252,9.747986977620481,1220.615829598647,21.0451005103215,6.918412552914269
Europe,2021-02-15,746515263,181.94769150276028,181.97298287001487,181.96957755177598,181.95495095534667,181.93891809466302,181.92885829173966,181.92598143019725,9096.278781686955,181.92557563373913,105.87528925044899
Oceania,2021-02-15,45038907,-15.854305530152455,2.7478365056500405,0.36028534336462464,-6.964949892786453,-15.854305530152455,-21.220499750911944,-22.820895155138995,-269.9048808892107,-11.246036703717113,2.7222485661119613
