C.,S.,C. & S.,Basic data and indicators,...5,...6,...7,...8,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,...37
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/ Excluding Netherlands Antillean residents.
658,1.1,658-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,25,24,25,25,25,27,30,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
658,1.2,658-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,1/,TF,8.8000000000000007,8.1999999999999993,8.5,8.6,9.1999999999999993,9.1,9.6999999999999993,9.8000000000000007,10.5,11.1,10.4,9.6,11.6,11.8,12,11.4,..,..,..,..,..,..,..,..,..,NA
658,1.3,658-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
658,1.4,658-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
663,0,663-0,SINT MAARTEN (DUTCH PART),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/ Arrivals by air. Including arrivals to Saint Maarten (the French side of the island).
663,1.1,663-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,1024,1022,1325,1339,1061,1300,1271,1436,1600,1823,1956,1890,1891,1821,1655,1956,2080,2210,2253,2502,2407,2197,1640,1775,1952,NA
663,1.2,663-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,1/,TF,460,365,439,458,445,432,403,381,428,475,468,468,469,475,440,443,424,457,467,500,505,528,402,178,320,NA
663,1.3,663-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,564,657,886,881,616,868,868,1055,1172,1348,1488,1422,1422,1346,1215,1513,1656,1753,1786,2002,1902,1669,1238,1597,1632,NA
663,1.4,663-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,564,657,886,881,616,868,868,1055,1172,1348,1488,1422,1422,1346,1215,1513,1656,1753,1786,2002,1902,1669,1238,1597,1632,NA
703,0,703-0,SLOVAKIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/ From 2003, the number of inbound arrivals is based on a combination of accommodation statistics and border survey statistics (as calculated within the Tourism Satellite Account)."
703,1.1,703-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12583,11556,14936,17376,15406,..,..,NA
703,1.2,703-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,1/,TF,903,951,814,896,975,1053,1219,1399,1387,1401,1515,1612,1685,1767,1298,1327,1460,1528,4291,3998,4869,5734,5546,..,..,NA
703,1.3,703-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8292,7558,10067,11642,9860,..,..,NA
703,1.4,703-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
705,0,705-0,SLOVENIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/ Source: accommodation survey.
705,1.1,705-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,63674,71876,76568,65587,60009,63580,61878,60031,59388,63013,60230,58274,61293,..,..,..,..,..,..,..,..,..,..,..,..,NA
705,1.2,705-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,1/,TCE,732,832,974,977,884,1090,1219,1302,1373,1499,1555,1617,1751,1958,1824,2049,2236,2377,2502,2675,3022,3397,3991,4425,4702,NA
705,1.3,705-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
705,1.4,705-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
90,0,90-0,SOLOMON ISLANDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/ Arrivals by air. 2004: without 1st and 2nd quarters; 2005: without 1st quarter.
90,1.1,90-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
90,1.2,90-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,1/,TF,11.8,10.3,13.8,15.8,..,5.2,..,..,6.6,5.6,9.4,11.5,13.7,16.3,18.3,20.5,22.9,23.9,24.4,20.100000000000001,21.6,23.2,25.7,27.9,28.9,NA
90,1.3,90-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,1.2,1.2,1.4,..,..,..,..,..,..,..,..,..,..,..,..,NA
90,1.4,90-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
706,0,706-0,SOMALIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
706,1.1,706-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
706,1.2,706-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
706,1.3,706-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
706,1.4,706-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
710,0,710-0,SOUTH AFRICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,1/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/ 1995-2008: excluding arrivals for work and contract workers.
Since 2009 a new methodology has been applied and therefore, the information is not comparable to previous years.
Since 2014 a new methodology has been applied and therefore, the information is not comparable to previous years. From 2014 excluding transit."
710,1.1,710-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,4684,5186,5170,5898,6026,6001,5908,6550,6640,6815,7518,8509,9208,9729,9532,11303,12097,13069,14318,14530,13952,15121,14975,15004,14797,NA
710,1.2,710-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,TF,4488,4915,4976,5732,5890,5872,5787,6430,6505,6678,7369,8396,9091,9592,7012,8074,8339,9188,9537,9549,8904,10044,10285,10472,10227.5,NA
710,1.3,710-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2520,3229,3758,3881,4781,4980,5048,5077,4690,4532,4569,NA
710,1.4,710-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
728,0,728-0,SOUTH SUDAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
728,1.1,728-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
728,1.2,728-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
728,1.3,728-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
728,1.4,728-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
724,0,724-0,SPAIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,1/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/ Source: Frontur (Statistics of tourists’ flows at frontiers).
2015: data calculated by extrapolating the data of Turespaña until September to calculate the data for October, November and December. Since October 2015 this operation is carried out by the National Statistics Institute - INE.
2016: break in the series. The data are not comparable with those of previous years."
724,1.1,724-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,52460,55077,62415,68068,72040,74580,75564,79313,82326,85981,92563,96152,98907,97670,91899,93744,99187,98128,103231,107144,109834,115561,121717,124456,126170,NA
724,1.2,724-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,TF,32971,34027,39553,41892,45440,46403,48565,50331,50854,52430,55914,58004,58666,57192,52178,52677,56177,57464,60675,64939,68175,75315,81869,82808,83509,NA
724,1.3,724-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,19489,21050,22862,26176,26599,28177,26998,28983,31472,33551,36649,38148,40241,40478,39722,41067,43010,40664,42555,42206,41659,40246,39849,41647,42661,NA
724,1.4,724-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3047,2924,3085,3564,NA
144,0,144-0,SRI LANKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/ Excluding nationals residing abroad.
144,1.1,144-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,414,315,384,409,465,445,397,457,583,681,669,689,592,526,538,766,976,1133,1415,1665,1993,2168,2248,2521,2027,NA
144,1.2,144-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,1/,TF,403,302,366,381,436,400,337,393,501,566,549,560,494,438,448,654,856,1006,1275,1527,1798,2051,2116.4,2334,1914,NA
144,1.3,144-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,11,13,18,28,28,45,60,64,82,115,120,129,98,88,90,112,120,127,140,138,195,117,131.4,187,113,NA
144,1.4,144-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
275,0,275-0,STATE OF PALESTINE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/ Source: Palestinian Central Bureau of Statistics. Hotel Activity Survey. Ramallah - Palestine.
Data on hotel activity from 2012 represent the West Bank only."
275,1.1,275-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,..,795,685,767,907,1055,..,..,..,..,..,..,928,1487,1740,2821,2730,3051,2874,2907,2054,2604,2919,3093,..,NA
275,1.2,275-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,1/,THS,..,220,210,200,300,310,43,33,37,56,88,123,264,387,396,522,449,490,545,556,432,400,503,606,688,NA
275,1.3,275-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,664,1100,1344,2299,2281,2561,2329,2351,1622,2204,2416,2487,..,NA
275,1.4,275-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
736,0,736-0,SUDAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/ From 2005 including nationals residing abroad.
736,1.1,736-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
736,1.2,736-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,1/,TF,29,38,30,36,39,38,50,52,52,61,246,328,436,440,420,495,536,575,591,684,741,800,813,836,..,NA
736,1.3,736-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
736,1.4,736-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
740,0,740-0,SURINAME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/ 1995-2003 arrivals at Zanderij airport only.
740,1.1,740-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,69,74,78,70,72,72,68,..,100,..,..,154,167,151,151,206,221,240,250,253,229,257,279,..,..,NA
740,1.2,740-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,1/,TF,43,53,61,55,57,57,54,60,82,138,161,154,167,151,151,205,220,240,249,252,228,256,278,..,..,NA
740,1.3,740-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,26,21,17,15,15,15,14,..,17,..,..,0.3,0.4,0.3,0.3,0.5,0.3,0.3,0.7,0.8,0.8,0.9,0.9,..,..,NA
740,1.4,740-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,26,21,17,15,15,15,14,..,17,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
752,0,752-0,SWEDEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/ 2001-2003: data according to IBIS-Survey (Incoming Visitors to Sweden) during the years 2001 to 2003, (no data collected before 2001 or after 2003). Source: Swedish Tourist Authority and Statistics Sweden.
2/ Data for 2011-2014 according to new national border survey (IBIS, Incoming Visitors to Sweden). No data collected during 2004 to 2010. The new border survey (IBIS) started in 2011. Source: Swedish Agency for Economic and Regional Growth.
3/ 1995-1999: camping excluding."
752,1.1,752-1.1,NA,NA,Total arrivals,NA,NA,Thousands,1/ 2/,VF,..,..,..,..,..,..,7432,7457,7627,..,..,..,..,..,..,..,19405,20011,18803,19945,..,..,..,..,..,NA
752,1.2,752-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,2/ 3/,TCE,2310,2376,2388,2573,2595,3828,4108,4276,4268,4676,4883,4729,5224,4555,4899,5183,11567,12372,10980,10522,6482,6782,7054,7440,..,NA
752,1.3,752-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7838,7639,7823,9423,..,..,..,..,..,NA
752,1.4,752-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,223,335,443,467,..,..,..,..,..,NA
756,0,756-0,SWITZERLAND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/ Until 2015: hotels and similar establishments (including health establishments). From 2016 onwards: all collective tourism establishments.
756,1.1,756-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
756,1.2,756-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,1/,TCE,6946,6730,7039,7185,7154,7821,7455,6868,6530,..,7229,7863,8448,8608,8294,8628,8534,8566,8967,9158,9305,10402,11133,11715,11818,NA
756,1.3,756-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
756,1.4,756-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
760,0,760-0,SYRIAN ARAB REPUBLIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/ 2000-2011: including the nationals residing abroad. 
2/ 1995-1997: arrivals of non-resident tourists in hotels and similar establishments.
Note: the Iraqi nationals are included from 2008 only and they have been excluded in the previous years (from the beginning of 2008, they have to require a visa to enter Syria; if they arrived previously to this date, it is considered that they staid for a period longer than a year, becoming residents)."
760,1.1,760-1.1,NA,NA,Total arrivals,NA,NA,Thousands,1/,VF,2253,2435,2332,2464,2682,3412,3671,4678,4837,6334,5859,5682,5434,6951,7721,10970,6476,..,..,..,..,1043,1291,1802,2424,NA
760,1.2,760-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,2/,TCE,815,830,891,1267,1386,2100,2192,2661,2598,3399,3571,4231,4158,5430,6092,8546,5070,..,..,..,..,..,..,..,..,NA
760,1.3,760-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,10,9,10,11,1296,1312,1479,2017,2239,2935,2288,1451,1276,1521,1629,2424,1406,..,..,..,..,..,..,..,..,NA
760,1.4,760-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,10,9,10,11,12,9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
158,0,158-0,TAIWAN PROVINCE OF CHINA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/ Including nationals residing abroad.
158,1.1,158-1.1,NA,NA,Total arrivals,NA,NA,Thousands,1/,VF,2332,2358,2372,2299,2411,2624,2831,2978,2248,2950,3378,3520,3716,3845,4395,5567,6087,7311,8016,9910,10440,10690,10740,11067,11864,NA
158,1.2,158-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
158,1.3,158-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
158,1.4,158-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
762,0,762-0,TAJIKISTAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
762,1.1,762-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,..,0.7,2.1,3.2,4.5,7.7,5.2,..,..,..,..,..,..,325,207,160,183,244,208,213,414,344,431,1035,..,NA
762,1.2,762-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,TF,..,..,..,..,1.6,3.8,3.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
762,1.3,762-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,2.9,3.9,1.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
762,1.4,762-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
834,0,834-0,"TANZANIA, UNITED REPUBLIC OF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/ In transit.
834,1.1,834-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,295,326,360,482,627,501,525,575,576,583,613,644,719,770,714,783,868,1077,1096,1140,1137,1284,1327,1506,..,NA
834,1.2,834-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,TF,285,315,347,450,564,459,501,550,552,566,590,622,692,750,695,754,843,1043,1063,1113,1104,1233,1275,1378,..,NA
834,1.3,834-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,1/,NA,10,11,13,32,63,42,24,25,24,17,23,22,27,20,19,29,25,34,33,27,33,51,52,128,..,NA
834,1.4,834-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
764,0,764-0,THAILAND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/ 1995-2005: including arrivals of nationals residing abroad.
764,1.1,764-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,..,7434,7530,8204,9151,10096,10751,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
